BANKS,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
S/N,Company Name,Physical Adress,Hotline,Specialization,RC No/ Date,Branch Offices,Product/ Services,Email,Website,Business Days/ Hours
1,ACCESS BANK,"16/18 Bogobiri Road off Mary Slessor Avenue, Calabar",07081361795,Banking,,"10 Calabar Road, Calabar 08024173668",,,,
2,CONFIDENT ASSURANCE MICROFINANCE MPCS LTD,"Shop 4 Etim Edem Plaza, opposite cultural centre, calabar","08054121630, 081630800470",Loans,,,Loan Investment,,,Mondays - Fridays  8am - 6.30pm  
3,DIAMOND BANK,"7 Mary Slessor Avenue, Calabar",08037759021,Banking,,,,,,
4,ECOBANK,"12 Mary Slessor Avenue, Calabar",07041450477,Banking,,,,,,
5,FABULOS MULTIPURPOSE COOPERATIVE SOCIETY,"48 Ediba Road, Calabar",08063608188,Cooperative Society,,,Cooperative Society,,,Mondays - Saturdays  8am - 5pm  
,FIDELITY BANK,"1 Ekong Esu Street off M/M Highway, Calabar",080034335489 01-4485252,Banking,,"Plot 239 Etagbor Road, Calabar",,trueserve@fidelitybank.ng,,
6,FIRST BANK,"17 Calabar Road, Calabar",01-4885500,Banking,,,,,,
7,GRACEFIELD COOPERATIVE LTD,"12 IBB Way off M/M Highway, Calabar",08033006329 08130111435,Micro Credit & Entrepreneurship Development Services,,,"Loan at Cheap Rates, Trusted Thrift Services, Agric Support Schemes",grafimemcsltd@gmail.com,,Mondays - Fridays  8am - 5pm  
8,GUARANTY TRUST BANK,"11 Calabar Road, Calabar",08039003900 08029002900,Banking,,,,,,
9,UNION BANK,"12 Calabar Road, Calabar",08135352332,Banking,,"Calabar Free Trade Zone, Tinapa Business Resort Calabar",,,,
10,UNITED BANK FOR AFRICA,"15 Calabar Road, Calabar",07030941356,Banking,,,,,,
11,ZENITH BANK,"1 Clement Ebri Drive off M/M Highway, Calabar",012781740 012787000,Banking,,"14 Mary Slessor Avenue, Calabar",,,,
