BEAUTY SERVICES,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
S/N,Company Name,Physical Adress,Hotline,Specialization,RC No/ Date,Branch Offices,Product/ Services,Email,Website,Business Days/ Hours
1,AGE,"17/25 IBB Way, Calabar",08066013292,Barber Shop,,,"Barbing, Hair Treatment",,,24hrs
2,AIDEE MAKE-OVER,"36 Inyang Street by Super E Filling Station, Calabar",07038800967 ,"Bridal Make Over, Gele Tyeing, Contact Lens",,BB PIN:26A83210,"Bead Making, Fixing of Nails, Bridal Makeover, Fixing of Eye Lashes, Eye Brow Grooming, Gele Tyeing, Contact Lens",,,Mondays - Saturdays  8am -6pm  
3,AKPAMA-EYEN BARBING CLINIC,"44/50 Mbukpa Street, Calabar",08179241814 07038331568,Hair Barbing Salon,,,Barbing Salon,,,Mondays - Saturdays  8am - 9pm  
4,ANNA DES HAIR DRESSING SALOON,"57 Ekpo Abasi Street, Calabar","08134254823, 08166161487",Barbing Salon,,,Barbing & Shaving,,,Mondays - Saturdays  8am - 8pm  
5,ANGELS SALON,"5B Close Goldie, Calabar","08186701113, 07012444607",Beauty services,,,"Hair making, nails,& perdicure",godminjames66@yahoo.com,,"24 Hours, Mondays- Sundays"
6,AUDYBEAUTY,"3 Akeitta off Akiba Street, Ikot Ansa, Calabar",08063582704 08037417020,Makeups & Makeover,,,Zaron Makeups & Others,princessaudra4me@yahoo.com,,Mondays- Sundays    8am - 8pm
7,AUSTYLE BARBERS SHOP,"2 Akiba Street, Ikot Ansa, Calabar",08115325676 08032776493,Barber Shop,,,"Barbing, Shaving, Hair Products",,,Mondays - Saturdays  8am - 10pm  
8,AWATEX HAIR & BOTIQUE,"2 Mount Zion Street by Goldie, Calabar",08023882037,Beauty Services,,,"Hair Fixing, Sales of Cream.",,,Mondays - Saturdays  8am - 8pm  
9,AWEM SKIN CARE & COSMETHOLOGY,"22 Marian Road, Calabar",08023698997,Skin Care,,,Skin & Face Treatment Product,kwemskintech@yahoo.com,,Mondays - Saturdays  8am - 6pm  
10,BEAUTY DAZZLES,1 0rok orok Street,"08036403334, 08090966243",Beauty Services,,,Hair making and nails fixing ,,,Mondays - Saturdays  8am - 6.30pm  
11,BEKKIES BEAUTY SALON,"Shop 9 Bigqua Shopping Mall, Calabar",07037128214,Hair Treatment & Products,,,"Weavon, Make-up Products, Treatment",,,Mondays - Saturdays  8am - 9pm  
12,BELLEZA COUTURE MAKE OVAZ,"78 Ndidem Usang Iso Road, Calabar",08136463084 08122525225 08056260332,Make-up Studio,,"21 Ekwulobia Street, off Azikiwe Street, Portharcourt","Bridal Makeover, Bridal Accessories, Decoration, Eyelash Fixing, Gele Tying",,,Mondays - Saturdays  8am - 7pm  
13,BEYOND BEAUTY SALON,"27 Nsefik Layout behind FiestaFries Marian Road, Calabar",08068552079 08067246888 07032975771,"Fixing Hair, Nails, Lashes, Make-up& Facial Treatment",,,"Fixing Lashes, Make-up, Hair Styling, Manicure, Pedicure",blessingefoli@gmail.com,,Mondays - Saturdays  8am - 8pm       Sundays   2pm - 8pm 
14,CATHERINE SPA,"Shop 7 Royal Plaza, IBB Way, Calabar",08142467507,Skin Care Solution,,,"Facials, Anti-Aging Products, Face & Shoulder Massage",,,Mondays - Saturdays  8am - 7pm  
15,CHERRIEZ,"428 Etta Agbor Layout, Calabar",08065175635 08026344037,Salon,,,"Weavon, Braids, Nails, Manicure, Pedicure",,,Mondays - Saturdays  8am - 8pm  
16,CHI LOVE BEAUTY COLLECTION,"467 Old Odukpani Road, Calabar",07036907620,"Braiding, Fixing, Cosmetics & Pedicure",,,,shennelezinwo4real@yahoo.com,,Mondays - Sundays  8am - 10pm
17,CHINA COSMETICS DEPOT,"1 Lagos Street, Igoli-Ogoja",08034490424 08059882822,Cosmetics (Retail & Wholesale),,,"Cosmetics, Make-up Products",,,Mondays - Saturdays  8am - 9pm  
18,CHUKLE BERRY SALON,"95 Ndidem Usang Iso Road, Calabar",08087420077 07064633099,Salon Services & Clothings,,,"Hair Accessories, Make-up, Bridal Hair, Clothings, Jewelleries",,,Mondays - Sundays  8am - 10pm  
19,CHUKS WEAVON,"58/65 Ndidem Usang Iso Road, Calabar",08187359959 08090538996,"Weavons, Salon, Attachments, Accessories",,"CRZ 1,6 Shopping Centre Calabar Road","Weavons, Cosmetics, Hair Accessories",amobis@ymail.com,,Mondays - Sundays  7am - 9pm  
20,CLASSIC JEWELS,"94 Ndidem Usang Iso Road, Calabar.",07030602896,Just Jewels,,,Jewels of All Kinds,,,Mondays - Sundays  8am - 6pm  
21,COSMETIC SHOP,"Etim Edem Park, Calabar",08165520954,Cosmetics,,,All types of Cream,,,Mondays - Sundays  8am - 8pm  
22,DAIZIES SHOP,"17/25 IBB Way, Calabar",08037135774 08171391666,Women Hair & Styling,,,"All  Beauty Accessories, Hair",vive1anderson@yahoo.com,,Mondays - Sundays  8am - 7pm  
23,D'EAGLES BARBING SALON,"49, 51 Etta Agbo Street Calabar",08169392048,Barbing Salon,,,Barbing Salon,,,Mondays - Saturdays  8am -8pm  
24,DE- AMOKACHI SALON,"7 Uwanse street, Calabar","08037767208, 08102667865",Barbing Salon,,,Barbing Salon,,,Mondays - Sundays  8am - 10pm  
25,DE-ARK COSEMETICS A\& BEAUTY CARE,"23, 27 Etta-Agbor Road, calabar",08162659423,Beauty consultant,,,Sales of cream & makeup,,,Mondays - Saturdays  8am - 6.30pm  
26,DE UNIQUE BARBING SALON,"24 Edim Otop Street, Calabar",08138856207 08171381792,Barbing Services,,,"Barbing Services, Perfumes",,,Mondays - Saturdays  8am -8pm  
27,DIAMOND BARBING SALON,"47 Palm Street, Calabar","07032594069, 08185228456",Salon,,,"Hair Cut, hair Dressing, Braiding ",,,Mondays - Sundays  8am - 8pm  
28,DIVINE BEAUTY HAIR/MAKE UP,"36 Inyang Street, Calabar",08064444931 08094890223,Hair & Make-up,CR9370,,,divinebeautyspa1@yahoo.com,,Mondays - Saturdays  8am - 8pm  
29,DREAM HIGH CLIPPERS,"27 MCC Road, Calabar",08036747565,Barbing Salon,,,,,,
30,DREAMS HAIRCUTS,"110/64 Murtala Mohammed Highway, Calabar",07038444181,Barbing & Hair Products,,,"Barbing, School & Home Services",,,Mondays - Saturdays  8am - 10pm  
31,DRELLS EXECUTIVE,"37 Ediba Road, Calabar",07037213142 08035081236,Barbing Salon,,,Barbing Salon,,,Mondays - Saturdays  8am - 7pm  
32,DUMAS BEAUTY SHOP,"Plot 398, Block 4, Ettagbor Layout by Unical Sec. Sch, Calabar",08033818087,Beauty Products,,,"Hair Accessories, Lingerie, Jewelleries",dumasbeautyshop@gmail.com,,Mondays - Fridays  8am - 6pm  
33,EFFICIENCY UNISEX HAIR CLINIC,"3 Park Road, Ikom",08063571664,"Braiding, Sales & Repair of Clippers",,,"Braiding, Sales & Repair of Clippers",,,Mondays - Saturdays  8am - 8pm  
34,EL-AMOUR COURTIOS,"54 Ndidem Usang Iso Road, Calabar.",08030926803,Make-over & Hair Solution,,,Make-over & Hair Solution/Products,,,Mondays - Saturdays  8am - 8pm       Sundays  2am - 8pm 
35,ELLANYEN COSMETIC,"94 Ndidem Usang Iso Road, Calabar.",08037412885 08187134064,Make-up,,,Make-up/ Cosmetics,zaron.com.ng,,Mondays - Saturdays  8am - 6pm  
36,EMMANUELLA BEAUTY PALACE,"Old Odukpani Road by Ikot Ansa, Calabar",07038129532,"Hair Fixing, Nails, Manicure & Pedicure",,,,,,Mondays - Saturdays  8am - 9pm          Sundays 2pm - 10pm  
37,EMTA GLAMOUR,12 Ekpo Abasi Street calabar,"08138362003, 0805631672",Salon,,,"facial treatment, Bridal Makeup",,,Mondays - Sundays  8am - 8pm  
38,ENUMEX COSMETICS,"96 Ndidem Usang Iso Road, Calabar.",08185301413,Cosmetics & Make-up Products,,,Cosmetics & Make-up Products/Tools,,,Mondays - Saturdays  8am - 6pm  
39,ESTY BROWN SALON,"Old Odukpani Road By G.J. Bar, Calabar",07068914334,"Manicure, Pedicure, Braiding, Fixing of Lashes",,,,,,Mondays - Sundays  8am - 6pm  
40,EXECUTIVE HAIRCUT,"Plot 1 Ededem Eyamba Street, Calabar",07031836326,Barbing Services,,,Neat Hair Cut,,,Mondays - Saturdays  8am - 8pm          Sundays 2pm - 8pm  
41,FAMOUS CUT,"6 Afokang Street, Calabar",07033579762,Barbing Salon,,,Barbing Salon,,,Mondays - Saturdays  8am - 8pm          Sundays 2pm - 8pm  
42,FLOWER AFFAIRS,"22 Marian Road, Calabar",08037137533,"Jewelleries, Hair, Make-up",,,"Weavon, Make-up Products, Accessories",,,Mondays - Saturdays  8am - 6pm  
43,GENTLE TOUCH SALOON,"55 Mount Zion Road, Calabar","07069407793, 09090196238",Beauty Services,,,Hair Dressing,,,Mondays - Saturdays  8am - 8pm  
44,GIFT CONCEPT,"27 Ediba Road, Calabar",07067043425 07064554298,"Hair Dressing, Weavon & Fixing Nails",,,"Hair Dressing, Weavon & Fixing Nails",,,Mondays - Saturdays  8am - 6pm          Sundays 12.30pm
45,GLOBAL EXCLUSIVE,"40 Essien Etim Offiong Avenue, Calabar ",08068214368 08140035884,Beauty Salon,,,"Hair Dressing, Make-up, Nail Studio",globelsalon@yahoo.com,,Mondays - Sundays  8am - 7pm  
46,GLORIOUS TOUCH BEAUTY CENTRE,82 Palm Street calabar,08035732976,Salon,,,"Braiding, Fixing, Manicure & Pedicure",,,Mondays - Sundays  8am - 8pm  
47,GOD'S FAVOUR BEAUTY SALON,"116 Afokang Street, Calabar",07068739688,Weavon & Attachment,,,"Fixing, Braiding, Weavon & Attachment",,,Mondays - Saturdays  8am - 7pm  
48,GOLD- FINGER MAKE-OVER ARENA,46 Uwanse Street Calabar,"08039379269, 08172972300",Beauty Services,,,Hair Dressing,,,Mondays - Sundays  8am - 7pm  
49,GRACE NAILS STUDIO,"8 Etta Agbor Road, Calabar",08062559613,Beauty Studio,,,"Nails, Lashes, Pedicure, Manicure",,,Mondays - Sundays  8am - 6pm  
50,GRACIOUS UNISEX SALON,"44 Ediba Road, Calabar",07034754965,Unisex Salon,,,"Washing & Setting of Hairs, Weavon",,,Mondays - Saturdays  8am - 7pm  
51,GRANDEUR SALON,"2 Ikot Eyo Street, Calabar",,Hair Treatment,,,,,,Mondays - Saturdays  8am - 7pm 
52,HAIR FORMAT,"Ishie Plaza, Old Odukpani Road, Calabar",08032721781,"Braiding, Wedding Hair, Fixing",,,,,,Mondays - Saturdays  8am - 7pm 
53,HAIR-INNS BEAUTY SALOON,"52 Ndidem Usang Iso Road, Calabar",08134108516,Weavon Sales & Styling,,,"Weavon, Hair Oil, Nails",,,Mondays - Saturdays  8am - 8pm  
54,HAIR PMPAS,23 Uwanse street Calabar,"07037599893, 08038639035",Barbing Salon,,,Barbing & Shaving,,,Mondays - Saturdays  8am - 7pm  
55,HOLY COSMETICS & PROVISION SHOP,"24 Edim Otop Street, Calabar",08065465230 08188838045,Cosmetics & Provision,,,Cosmetics & Provision,,,Mondays - Saturdays  8am - 9pm  
56,ID BEAUTY PALACE,"291 Old Odukpani Road, Calabar",08169914692,"Braiding, Hair Fixing, Manicure",,,,,,Mondays - Saturdays  8am - 8pm 
57,JAHDIEL THE MAKEUP STUDIO,"9 Joseph Ishie Street off Atekong Drive, Douglas Avenue, State Housing, Calabar",08166073902 08054034458,Makeup & Skin Care,,,"Makeup Products, Skin Care, Body Cream, Facials",,,Mondays - Sundays  9am - 7pm 
58,JODAH COSEMETIC COMPLEX,"Shop, 5 POWA Shoping Complex",08037073622,Cosmetics,,,Creams & Soap,,,Mondays - Sundays  8am - 8pm  
59,JOY BEAUTY HAIR SALON,"32b M Line Federal Housing Estate, Calabar",08163538203,Hair Plaiting,,,,,,Mondays - Saturdays  9am - 6.30pm        Sundays 2pm - 6.30pm  
60,JUSTCLEO,38 Atekong Drive Calabar,08039185090 08096174104,Hair Styling,,,"Hair, Accessories & Counselling",esswideconnect@yahoo.com,,Mondays - Saturdays  7.30am - 8pm   Sundays 2pm  
61,KCEE COSMETICS SHOP,"81 IBB Way, Calabar",08033577150 07067559759,Cosmetics & Provision,,,"Cosmetics, Provision & Make-up Accessories",tessynwaohiri@yahoo.com,,Mondays - Saturdays  7am - 10pm  
62,KEEPSSAKE ROSANA,"78 Ndidem Usang Iso Road, Calabar",07011609596,"Perms, Retouching, Manicure & Pedicure",,,"Hair Cuts, Braiding, Nails, Eye Lashes",,,Mondays - Sundays  9am - 12pm  
63,KELLY VIC BEAUTY SALOON,"274 Murtala Mohammed Highway, Calabar",08039499449,Hair Dressing & Facial Treatment,,,"Facial Treatment, Cosmetics, Weavons",,,Mondays - Fridays  8am - 8pm  
64,KING HAIR LINE,38 Atekong Drive Calabar,08034129953,Barber Shop,,,"Barbing, Men Shoes, Accessories",kinghairline@yahoo.com,,Mondays - Saturdays  8am - 12pm    Sundays 3pm - 12pm   
65,KINGS & QUEENS SALON,"83 IBB Way, Calabar",08030466141 08099773566,Male & Female Hair Solution,,,"Weavon, Hair Products & Hair Treatment",,,Mondays - Sundays  8am - 10.30pm  
66,KISSES COSMETIC AND MAKUP,"1 Mount Zion by Goldie Street,Calabar","08038506402, 08036268473",Cosmetics,,,Hair Fixing and Nails,,,Mondays - Saturdays  8am - 7pm  
67,KOKCY BEAUTY SALON,"23 Ediba Road, Calabar",08174818948,Beauty Salon,,,"Braiding, Hair Washing, Weavon, Training",,,Mondays - Saturdays  8am - 6pm  
