"CLUBS, ASSOCIATIONS & NON-GOVERNMENTAL ORGANIZATIONS",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
S/N,Company Name,Physical Adress,Hotline,Specialization,RC No/ Date,Branch Offices,Product/ Services,Email,Website,Business Days/  Hours
1,ABI/YAKURR YOTH COALITION,,08032357929,Sensitization and Mobilization,,,,,,
2,"ACROBATS - ASSOCIATION OF CROSS RIVER BENEFICIARIES OF BUSES AND TAXIS SCHEME

",,08032708155,,,,,,,
3,"ACTORS GUILD OF NIGERIA, CROSS RIVER STATE CHAPTER",,08188784583 08149802295,"Movie, Making Mass Campaign, Media & Publicity",,,,,,
4,ACTUALIZATION GROUP,,07063503941,Mobilization and Media,,,,,,
5,ADADAMA REVOLUTIONARY GROUP,,07068084343 08036741747 08032578715,Political Mobilization/Sensitization,,,,,,
6,ADVOCACY FOR GOOD GOVERNANCE,,08064760827,Sensitization and Mobilization,,,,,,
7,AKPABUYO GRASSROOT MOVEMENT,,08035466339,Sensitization and Mobilization,,,,,,
8,AKPABUYO YOUTH CONSULTATIVE ASSEMBLY,,08067852566,Sensitization and Mobilization,,,,,,
9,ALL FARMERS ASSOCIATION OF  NIGERIA (AFAN),,08164348040,"Farming, Food Security, Provision of Raw Material",,,,,,
10,AMBASSADORS FOR POSITIVE IMPACT,"7 Nsemo Street, Calabar",08131954253 08057249146,Youth Development,,,"Enhance Leadership Potentials Through Seminars, Workshops, Excursion, Promoting Entrepreneurship Dev. Of Youth",,,Mondays - Fridays  24 hrs  
11,ASSOCIATION OF COMMERCIAL DRIVERS OF CROSS RIVER STATE,,08037669296,,,,,,,
12,ASSOCIATION OF URBAN TAXI DRIVERS,,08037669296 08069160560 08035166669,Behaviours/Change Campaign for Transporters on Tourism 2015,,,,,,
13,AYA-UBEHE MERCANTILE ASSOCIATION,"96 MCC Road, Calabar",08065742214,Awarenes/Sensitization (Market Women & Men),,,,,,
14,BAKASSI RIVERINE ASSEMBLY,,08037089783,Youth Empowerment,,,,,,
15,BEKWARRA WOMEN DEVELOPMENT ASSOCIATION,,07030642856 08027607442,"To bring Women Together, for Social & Political Mobilization",,,,,,
16,BIASE CONCERNED FRIENDS,,08032529586,Sensitization and Mobilization,,,,,,
17,BOKI SOLIDARITY FRONT,,08082343295 08024682657 07031651463,Sensitization and Mobilization of the Electorate for 2015 Elections,,,,,,
18,BOKI YOUTH FORUM,,07034653641 08138858933,Door to Door and Heart to Heart Conviction,,,,,,
19,CAPITAL ALL STARS FOR GOOD GOVERNANCE,,08033489738 08037134935,Advocacy Group,,,,,,
20,CENTRE FOR SECURE HEALTH & ENVIRONMENTAL DEVELOPMENT INITIATIVE (SHEDAFRICA),"80 Marian Road, Calabar",07061517951 07057498245,Intervention (Health & Social),,,Construction& Malaria,,,Mondays - Fridays  8am - 4pm  
21,COMMUNITY OF DEMOCRATIC IDEALS FOR RURAL ECONOMIC EMPOWERMENT IN CROSS RIVER STATE,,08099670394,Sensitization and Mobilization,,,,,,
22,CONCERN CITIZEN OF CRS,,08134639401 08068348698,Sensitization and Mobilization,,,,,,
23,CR ACTION MOVEMENT (RAM),"8 Miles, Calabar",08059925022 09091919660,Sensitization and Mobilization,,"10 Maryland Crescent, PH",,,,
24,CROSS RIVER ENTERTAINS FORUM (CREF),,08066343778 08161399221,Socio-Political Youth Mobilization,,,,,,
25,"CROSS RIVER NORTHERN STUDENTS ASSOCIATION, FACULTY OF ENGLISH, CRUTECH",,08141299956,Sensitization and Mobilization,,,,,,
26,CROSS RIVER STATE ACTION GROUP,,08034076414,Awarenes/Sensitization (Drivers Parks Markets),,,,,,
27,CROSS RIVER STATE DJ'S PROFESSIONALS ASSOCIATION,,08062842444 08028257117,Mass Campaign  and Sensitization,,,,,,
28,CROSS RIVER STATE NORTHERN YOUTH ADVOCACY (CRONYA),,08035796701,Mobilization: Ensuring Your Votes Count,,,,,,
29,CROSS RIVER STATE PAST COUNCILLORS FORUM,,08069398139,Grassroot Sensitization and Mobilization,,,,,,
30,CROSS RIVER STATE POLITICAL NETWORK,,08032866182,Advocacy/ Sensitization,,,,,,
31,CROSS RIVER STATE YOUTH CAUCUS,,08068627249 07051948727,"Co-ordinating, Sensitization and Mobilization",,,,,,
32,CROSS RIVER YOUTH NETWORK,,08035533725,Sensitization and Mobilization,,,,,,
33,DE-BIG BROTHERS FORUM BIASE,,08063860641,,,,,,,
34,DESTINY GROUP,,08069373331 08094429308,"Socio-Political Mobilization, Sensitization and Community Development",,,,,,
35,DIAMOND LADIES CLUB OF NIGERIA,,08036391935 08050230180,Mobilization and Awareness,,,,,,
36,"DOOR TO DOOR GROUP, CRS",,08032331057,Publicity/Mobilization,,,,,,
37,DYNAMIC YOUTHS (DY'S) GROUP,,08093609733 09028739447,"Campaign, Publicity and Grassroot Mobilization",,,,,,
38,E4 NETWORK INITIATIVE,,08064026001,"Door to Door, Town Crier, Village Market",,,,,,
39,EAGLE WINGS GROUP,,08039209102 08056803548,Sensitization and Mobilization,,,,,,
40,EASTSIDE SPORTS CLUB,"Treasureland Hotel, Ediba Road, Calabar",08037087593,Recreational Club,RC 40539,,"Aerobics & Fitness, Football, Cheerleading",eastsidesportclub@gmail.com,,Saturdays                  7am - 10am
41,EFIK EBURUTU YOUTH FORUM,,08063608576 08173800989,Mobilization of Youths for Campaign and Votes,,,,,,
42,EFUT ABUA YOUTH ASSOCIATION,,08033488597,Sensitization and Mobilization,,,,,,
43,EJAGHAM YOUTHS - DEMOCRATIC ASSEMBLY,,08096182958,Sensitization and Mobilization,,,,,,
44,EKPASHI WOMEN FORUM,,08063058433 07063901147,Organising Workshop to Teach Our Women Electronic and Manual Voting.,,,We Carryout Investigation to those Who are Legible to Vote,,,
45,EMINENT ASSOCIATION,,07031633000,Sensitization and Mobilization,,,,,,
46,FORUM OF PAST UNION LEADERS,,08033324525,Sensitization and Mobilization,,,,,,
47,GOLDEN LADIES ASSOCIATION,,07031213273,Mobilization and Awareness,,,,,,
48,GRASSROOT ASSOCIATION OF NON-INDIGENES,,07061616629,Sensitization and Mobilization,,,,,,
49,GRASSROOT AWARENESS INITIATIVE (GRAIN),,08067852052,Sensitization and Mobilization,,,,,,
50,GRASSROOT NOBLE WOMEN FORUM,,08055423057,Sensitization and Mobilization,,,,,,
51,GRASSROOT VOLUNTEER'S FOR DEVELOPMENT,,08030601203 08032619228 07037573682,Sensitization & Mobilization of all the Electorate for 2015 General Elections,,,,,,
52,GREAT 18 COALITION,,08069343166 08033382938 07063677913,Empowerment,,,,,,
53,GREAT FRIENDS ADVOCACY GROUP,,08063898937 07015236428,Co-operative and Advocacy,,,,,,
54,HOPE ALIVE VOLUNTEER GROUP,,08060052864,"ICT, General Campaign",,,,,,
55,HOPE FOR NEW NIGERIA GLOBAL INITIATIVE,"1 Adiabo, State Housing, Calabar",08175901575 08035267318,Build Bridge b/w Govt & Electorates,,,Allow Governance get to Rural Dwellers,,,Mondays - Fridays  8am - 4pm  
56,IKOM YOUTH FORUM,,07038839769,Sensitization and Mobilization,,,,,,
57,KEGGITE CLUB OF NIGERIA,,08039320619,Campaign Mobilization and Grassroot Publicity,,,,,,
58,LEADERSHIP SUPPORT GROUP,,08037159103,Sensitization and Mobilization,,,,,,
59,LEGACY GROUP,,,Advocacy,,,,,,
