EATERIES,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
S/N,Company Name,Physical Adress,Hotline,Specialization,RC No/ Date,Branch Offices,Product/ Services,Email,Website,Business Days/ Hours
1,ABSOLUTE PEACE RESTAURANT,"3 Ikot Nkebre 8 Miles, Calabar",07038123188 08148203488,Fast Food & Drinks,,,,,,Mondays - Saturdays  8am - 10pm  
2,ANDY WEST RESTAURANT,4 Goldie street calabar,08035565085,Dishes,,,Different Types of Food,,,Mondays - Saturdays  8am - 6.30pm  
3,APPLES FRIED CHICKEN LTD,"132, Ndidem Usang Iso Road, Calabar",07037619798 08038823633,Eatery,,"54 Okigwe Road, Aba, Abia State","Food, Snacks, Drinks",apples_fried chickenltd@yahoo.com,,Mondays - Sundays  6am - 10pm  
4,BANY WINE & RESTAURANT,"86 MCC Road by Effio-Ette Junction, Calabar.",08037322974,Wine & Restaurant,,,"Wine, Spirit & Food",,,Mondays - Sundays  7am - 10pm  
5,BAY'S CAFE SNACKS & BAR,"Murtala Mohammed Highway, Calabar",,,,,,,,
6,BEULAH'S EATERY & BAR,4 Clerks Alley off Bedwell Street calabar.,"08094413732, 07034005631",Food,,,"Afang, Garri, Pepper soup.",,,"Mondays - Saturday, 8am-6pm"
7,BIG MUNCH,"8, Ediba Road, Calabar",,,,,,,,
8,BLUEBERRIES FAST FOOD & RESTAURANT,"1 Ogoja Road, Abakpa-Ogoja",08077115999,Fast Food & Restaurant,,,Fast Food & Restaurant,,,"Mondays - Saturday, 8am-8pm"
9,BOLEROES,University of Calabar Teaching Hospital by UCTH Guest House,08037273406 08091499688,Grill & Chops (Fish & Plantain),,,Grilled Fish & Plantain,,,"Mondays - Saturday, 9am-7pm"
10,CHENO BAKERY,"13 Eyo-Etta Street, Calabar",0806448869,Pastries,,,,,,Mondays - Saturdays  5am - 9pm  
11,CHINESE RESTAURANT,"Effanga Mkpa Street, State Housing Estate, Calabar",,,,,,,,
12,CREATIVE CITY CAKES,"173 Etagbor layout, beside Calculux, Calabar","08039437533, 08055686065",Making of cakes,,,Cakes,,,Mondays - Saturdays 8am-6pm
13,CRUNCHIES FRIED CHICKEN,"39, Ndidem Usang Iso Road, Calabar",08034052417,Fast Food & Restaurant,,,"Food, Snacks, Drinks, Indoor & Outdoor Services",,,Mondays - Sundays  8am - 10pm  
14,DE SEASON BAR & RESTAURANT,"16 Edim Otop Close, Calabar",08182745276,Bar & Restaurant,,,"Wine, Spirit, Juice, Chicken, Plantain, Goat Meat Pepper Soup, Fresh Fish",,,"Mondays - Saturday, 8am - 9pm"
15,DE-CHOICE FAST FOOD,"Mary Slessor Avenue, Opposite UBA Bank Calabar",,,,"Anansa Road by Wapi Junction, Calabar",,,,
16,DELIGHT RESTURANT,34 Akim Road Calabar,08037049776 09035336421,Resturant,,,Foods & Drinks,,,Mondays - Saturdays 8am - 7pm
17,DELIGHTSOME BAR & RESTAURANT,"117 Old Ikang opp Marian Hotel, Calabar",08139887115 08077636429,Bar & Restaurant,,,"Bar, Restaurant & Internet",,,Mondays - Sundays 8am-12pm
