EDUCATIONAL SERVICES,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
S/N,Company Name,Physical Adress,Hotline,Specialization,RC No/ Date,Branch Offices,Product/ Services,Email,Website,Business Days/ Hours
1,ABAKUM SCHOOL,"Uyanga, Akamkpa",,"Private Nursery, Primary/Secondary School",,,,,,
2,ABILITY NURSERY/ PRIMARY SCHOOL,"31 Umoh Orok Street, Calabar South",08030979594,Private Nursery / Primary School,,,,,,"Mondays - Friday,          8am - 1pm"
3,ABUO AGBO MEMORIAL GRAMMAR SCHOOL,"P.O.Box 28, Obudu",,Private Secondary School,,,,,,
4,ACCESS GROUP OF SCHOOLS,"Etubom George Duke Henshaw Estate off Atimbo/1 Cadana (Former Paradise Hotel) off Atekong Drive, Calabar Municipal",08023706399,"Private Nursery, Primary/Secondary School",,,,,,
5,ACCESS SECONDARY SCHOOL,"Okpudu - Okpoma, Yala",,Private Secondary School,,,,,,
6,ACHIEVERS NURSERY/ PRIMARY SCHOOL,"Abuochiche, Bekwara",,Private Nursery / Primary School,,"Itari - Oba Okpoma, Yala",,,,
7,ACHUON MEMORIAL SECONDARY COMM. SCHOOL,"Ukpah Opp. St. Augustine's Primary School , Bekwara",,Private Secondary School,,,,,,
8,ADAMBE SECONDARY COMMERCIAL SCHOOL,"Utuhu, Obanliku",,Private Secondary School,,,,,,
9,ADDY BLESSED INT'L NURSERY/ PRIMARY SCHOOL,"22 Mbierebe Avenue, Calabar South",,Private Nursery / Primary School,,,,,,
10,ADVENT NURSERY/ PRIMARY SCHOOL,"Ikot Okpora, Biase",,Private Nursery / Primary School,,,,,,
11,AGBA COMMUNITY SECONDARY SCHOOL,"Opirikwu Igede Edii, Yala",,Private Secondary School,,,,,,
12,AGIGA SECONDARY COMMERCIAL SCHOOL,"Agiga Village, Igoli - Ogoja",,Private Secondary School,,,,,,
13,AGILISON DIVINE ACADEMY,"Ogang - Mbube, Ogoja",,Private Secondary School,,,,,,
14,AP MONTESORI,Plot  3/4 Govt Layout CICC Access Rd off M/M Highway behind Cross Waste Mgt.,08090956530 08129987456,Private Nursery / Primary School,,,,,,
15,AKIM AKIM MODEL SCHOOL (AKIMOHS),"140 Calabar Road, Calabar South/Akim Akim Qua Town, Odukpani",08037174764,"Private Nursery, Primary/Secondary School",,,,,,
16,AKU NURSERY/ PRIMARY SCHOOL,"13 King Street, Big Qua, Calabar Municipal",08034177304,Private Nursery / Primary School,,,,,,
17,ALL SAINTS INT'L NURSERY/ PRIMARY SCHOOL,"Ikot Edem Ita, Akpabuyo",,Private Nursery / Primary School,,,,,,
18,ALL SAINTS SCHOOLS,"Industrial Estate Abakpa, Ogoja",,"Private Nursery, Primary/Secondary School",,,,,,
19,ALL SAINTS PRESBYTERIAN  SCHOOL,"Ugep, Yakurr",,"Private Nursery, Primary/Secondary School",,,,,,
20,ALL WELL NURSERY/ PRIMARY SCHOOL,"Ikot Effanga Mkpa, Calabar Municipal",,Private Nursery / Primary School,,,,,,
21,AL-MARK CHRIST THE KING COLLEGE,"Ijokom, Yala",,Private Secondary School,,,,,,
22,ALPHA BEN INT'L COLLEGE,"Mbarekul, Ogoja",,Private Secondary School,,,,,,
23,ALPHA PREPARATORY NURSERY/ PRIMARY SCHOOL,"3 Okang Ekpo Lane off Akpandem Nyahassang, Calabar",08036938548,Private Nursery / Primary School,,,,,,
24,ALPHA INT'L NURSERY/ PRIMARY SCHOOL,"Agbaraba Village, Ikom",,Private Nursery / Primary School,,,,,,
25,AMAZING GRACE FOUNDATION SCHOOL,"2 Ekei Ita Street, Ikot Ansa, Calabar Municipal",08033416411,"Private Nursery, Primary / Secondary School",,,,,,"Mondays - Friday,          7.30am - 3pm"
26,AMAZING GRACE SCHOOLS,"Extreme Stadium Road, Igoli - Ogoja",,"Private Nursery, Primary/Secondary School",,,,,,
27,A.M.E.ZION PRIMARY SCHOOLS,"Diamondhill, Calabar",08130540077 09099950182,Nursery / Primary School,,,,,,
28,AMITY NURSERY/ PRIMARY SCHOOL,"Kakum, Obudu",,Private Nursery / Primary School,,,,,,
29,ANCILLA SCHOOLS,"130 Calabar Road / 18 Itu Okon Street, Off Ikot Ansa,  Calabar.",07030400491,Private Nursery / Primary School,,,,,,
30,ANDEM INT'L NURSERY/ PRIMARY SCHOOL,"Plot 14 Anansa Road, Calabar Municipal",,Private Nursery / Primary School,,,,,,
31,ANDOYA FOUNDATIN COLLEGE,"Km 1 Bishiri Road, Obudu",,Private Secondary School,,,,,,
32,ANGEL SCHOOLS,"14 Ekpenyong Abasi Street / 17 Mesembe Close opp. Aqua Vista, Calabar South",08130005630 08028878842,"Private Nursery, Primary/Secondary School",,"80 Yellow Duke Street, Calabar",,,,
33,ANGELIC INT'L NURSERY/ PRIMARY SCHOOL,"1 Bateba Street, Calabar Municipal",07068579131 08033855192,Private Nursery / Primary School,,,,,,
34,ANI MEMORIAL NURSERY/ PRIMARY SCHOOL,"Unebu Ijom, Ugep - Yakurr",,Private Nursery / Primary School,,,,,,
35,ANNUNCIATION GIRLS JUNIORATE,Moniaya - Ogoja,,Private Secondary School,,,,,,
36,ANNY GRANCE NURSERY/ PRIMARY SCHOOL,"6 Okon Effiong Okon Street, Calabar South",,Private Nursery / Primary School,,,,,,
37,ANOINTED CHILD INT'L NURSERY/ PRIMARY SCHOOL,"Okundi, Boki",,Private Nursery / Primary School,,,,,,
38,APEX INT'L SECONDARY SCHOOL,"Akparanum, Biase",,Private Secondary School,,"Along Ikom - Calabar High Way, Akparavuni, Obanliku",,,,
39,APEX MODERN SECONDARY SCHOOL,"Ovonum Adun, Obubra",,Private Secondary School,,,,,,
40,APEX DYNASTY INT'LL NURSERY/ PRIMARY SCHOOL,"Plot 11 Etagbor Layout Unical Hotel Road, Calabar Municipal",08185465551,Private Nursery / Primary School,,,,,,
41,APOSTOLIC TRINITY INT'L NURSERY /PRIMARY SCHOOL,"Obung Assembly, Obung Town, Akamkpa",,Private Nursery / Primary School,,,,,,
42,ARCH BISHOP USANGA INT'L NURSERY/ PRIMARY SCHOOL,"38 Edim Otop Street, Calabar Municipal",,Private Nursery / Primary School,,,,,,
43,ARK OF GOD COVENANT NURSERY/ PRIMARY SCHOOL,"Dominion Ark of Liberation Ministries, Epaty Aduma Mkpani, Yakurr",,Private Nursery / Primary School,,,,,,
44,ASSEMBLIES OF GOD BETHEL NURSERY/ PRIMARY SCHOOL,"Assemblies of God Church, Ekiemkae Bendeghe Ekiem, Etung",,Private Nursery / Primary School,,,,,,
45,ASSEMBLIES OF GOD  SCHOOLS,"Ofatura Town, Obubra",,"Private Nursery, Primary Secondary School",,,,,,
46,ASSEMBLIES OF GOD NURSERY/ PRIMARY SCHOOL,"Assemblies of God Church Mkpani, Yakurr",,Private Nursery / Primary School,,,,,,
47,ASSURANCE COMMUNITY SCHOOL,"Ovukwa, Obubra",,Private Secondary School,,,,,,
48,ASSURANCE NURSERY/ PRIMARY SCHOOL," Adijinkpor No. 1 B/H EE & Pet Ogoja Road, Four Corners, Ikom",,Private Nursery / Primary School,,,,,,
49,ASSURANCE SECONDARY COMM. SCHOOL,"Shell Road, Ent. Ikang Central, Bakassi",,Private Secondary School,,,,,,
50,ATEHUNG COMMERCIAL SECONDARY SCHOOL,"Unwapu - Ukpah, Bekwara",,Private Secondary School,,,,,,
51,AUNTIE MARGARET MEMORIAL SCHOOLS,"44 Ndidem Usang Iso Road, Calabar Municipal",08032453641,"Private Nursery, Primary / Secondary School",,,,,,
52,AUNTIE REBECCA SCHOOLS,"15 Mberebe Street off 44 Jebs Road, Calabar",08067345296 07034549717,"Day Care, Pre-Nursery, Primary",,"8 Etta Okon Street, Calabar South","Day Care, Pre-Nursery, Primary",,,"Mondays - Friday,          7am- 2pm"
53,RIMA STANDARD SCHOOLS,"4 Asikime Street, Spring Road, Ikot Omin 8 Miles, Calabar Municipal",07068618585,"Private Nursery, Primary / Secondary School",,,,,,
54,AUNTY DORCAS INT'L NURSERY/ PRIMARY SCHOOL,"Edang - Ajere Ekori, Yakurr",,Private Nursery / Primary School,,,,,,
55,AUNTY EILEEN NURSERY/ PRIMARY SCHOOL,"Along College Road Bendeghe Ekiem, Etung",,Private Nursery / Primary School,,,,,,
56,AUNTY EKPENYONG NURSERY/ PRIMARY SCHOOL,"23 Victor Akan/ 1 Allman Street, Calabar South",,Private Nursery / Primary School,,,,,,
57,AUNTY GRACE BLESSED NURSERY/ PRIMARY SCHOOL," 101 Palm Street, Calabar South",08030615323,Private Nursery / Primary School,,,,,,
58,AUNTY IQUO EFFANGA MEM. NURSERY/ PRIMARY SCHOOL,"18 Stream Road, Ikot Effanga Mkpa, Calabar Municipal",08033507515 08082869884,Private Nursery / Primary School,,,,,,"Mondays - Friday,          7am- 1pm"
59,AUNTY LIZZY NURSERY/ PRIMARY SCHOOL,"Kalime, Ikom",,Private Nursery / Primary School,,,,,,
60,AUNTY MARYGRACE  SCHOOL,"Abakpa, Ogoja",,"Private Nursery, Primary/Secondary School",,,,,,
61,AUNTY MARY'S NURSERY / PRIMARY SCHOOL,"Asamanka, Akpabuyo",,Private Nursery / Primary School,,,,,,
62,AUNTY PATIENCE NURSERY/ PRIMARY SCHOOL,"70 Essien Street, Calabar South",08064497983,Private Nursery / Primary School,,,,,,
63,AUNTY RIO NURSERY/ PRIMARY SCHOOL,"Iyamoyong Town, Obubra",,Private Nursery / Primary School,,,,,,
64,AUNTY ROSE SECONDARY COMM. SCHOOL,"Mile 1, Obubra",,Private Secondary School,,,,,,
65,AUNTY SAMA'S CHILDREN INT'L NURSERY/ PRIMARY SCHOOL,"124 Ndidem Usang Iso Road, Calabar Municipal",08023559941,Private Nursery / Primary School,,,,,,
