ENTERTAINMENT & LEISURE,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
S/N,Company Name,Physical Adress,Hotline,Specialization,RC No/ Date,Branch Offices,Product/ Services,Email,Website,Business Days/ Hours
1,AKO-BEES,"2 Bassey Duke Street, Calabar",08037964229 08083255916,Hiring & Selling of Wedding Gowns,,"4 Adak Uko Lane, Calabar","Bead Making, Fixing of Nails, Bridal Makeover, Fixing of Eye Lashes, Eye Brow Grooming",,,Mondays - Saturdays  8am -5pm  
2,ALL THINGS BRIDAL,"96 Ndidem Usang Iso Road, Calabar",08053693822 08173247474,Wedding Gowns & Accessories,,,"Bead Making, Fixing of Nails, Bridal Makeover, Fixing of Eye Lashes, Eye Brow Grooming",,,Mondays - Saturdays  8am -5pm  
3,ANGEL SERVICES,"57 Edim Otop Street, Calabar",08032967386,Event Management,,,"Wedding & Birthday Venue, Decoration, Cakes, Chin-chin",,,Mondays - Sundays   24 Hrs
4,BEELAJ,"10 Chief Obot Close, Calabar",08054915178,Cooking (Home & Event),,," Event Management, Cooking  for Home",,,Mondays - Saturdays   8am - 9.30pm
5,BLESS B CATERING SERVICES ,"17 Ekpo Archibong Street, Calabar",08160915970,Catering Services,,,,,,Mondays - Saturdays   24 Hrs
6,BLESS CONCEPT CATERING SERVICES AND CAKES,"27 Parliamentary Road, Calabar.",08034130113 08021020119,"Event Planning, Catering and Cakes",295629/ 12 March 2014,,"Event Planning, Catering and Cakes",princessk4love@yahoo.com,,
7,BLITZ LOUNGE CALABAR,"8b Mayne Avenue, Calabar",08079560094,Restaurant & Bar,,,"Food,Assorted Wines, Outdoor Catering",,,Mondays - Sundays   8am - 2pm
8,BRIDAL GARDEN BOUTIQUE,"19 Etta Agbor Road, Calabar",08064459105,"Wedding Gowns, Men's Outfit",,,"Wedding Gowns, Men's Outfit",gardenbridalboutique001@gmail.com,,Mondays - Saturdays   8am - 7pm
9,BRIDGEG SERVICES,"26 Big Qua Road, Calabar",08035142331,Event Management,,,"Event Management, Cake, Hats, Beads",,www.bridgeteservices@yahoo.com,Mondays - Sundays   24 Hrs
10,CAANAN RENTALS & DECORATION,"39 Diamond Street, Calabar",08051446350 08030904288,Event & Decoration,,,"Chairs, Canopies, Wedding Chair",,,Mondays - Sundays   24 Hrs
11,CALABAR FUN CITY & MALL,"199 Ndidem Usang Iso Road, Calabar",08032656772,Kiddies Event Centre,,,Kiddies Event Centre,talk2mama4life@yahoo.com,,8am - 9pm  
12,CHAMPIONS BETTING,"58 Edim Otop Street, Calabar",08154081713 07012884654,Sport Betting,,,"Sports, Live in-Play, Poker, Visual Game",info@championsbetng.com,,Mondays - Sundays   24 Hrs
13,CITY CAKES 'n' DECOR,"53 Ndidem Usang Iso Road, Calabar",08035225038 08112089325,Baking and Cake Accessories,,,"Cake and Cake Accessories, Training",,www.citycakesndecor.com,Mondays - Saturdays  8am - 6pm  
14,DAVIDATE CATERING NIGERIA,"8 Kufre Street, Diamond Hill, Calabar",08179842465 08131246945,"Cake Baking, Bread & Pastries",CR/069B/CA,,,,www.davidatecatering.com,Mondays - Saturdays  8am - 6pm  
15,DE CLE BRIDAL,"16 Barracks Road Opposite Chronicle Office, Calabar",08063407788 08181220734,Bridal Clothes & Accessories,,,Bridal Gown & Accessories,centdrcle@gmail.com,,Mondays - Saturdays  7am - 8pm  
16,DE MIGHTY NIGERIAN COMPANY,"113 Old Odukpani Road, Calabar",08037496101 08113333565,Interior & Exterior Decoration,,,,mightykorie@gmail.com,,Mondays - Saturdays  7am - 7pm  
17,DE RANSY EVENTS,"182 Old Odukpani Road, Calabar",08064445557,"Interior & Exterior Decoration, Event Planning & Management, Sales & Rental of Wedding Gowns.",,,,deransyevents@yahoo.com,,Mondays - Saturdays  8am - 6pm  
18,   DE VENUE EVENTCENTRE,"Parliamentary  New Extention Road,After Serematech Bridge,Calabar",8062353096,,,,,devenue@outlook.com www.deevenueeventcentre.com,,
19,DE   YOUNG DJ,"206 Old Odukpani Road, Calabar",08068634904,D.J & C.D Place,,,,,,Mondays - Sundays  7.30am - 9.30pm  
20,DJ KINGSLEY ENTERTAINMENT,"15 Yellow Duke Street, Calabar",08037829920,Event Management,,,,,,Mondays - Saturdays  8am - 8pm  
21,DJ OWIZZY PRODUCTION,"Plot 2 NL Federal Housing Estate, Calabar",07034600631,Event Management,,,"DJ, Music Production, MC, Entertainment ",dj_owizzyproduction@yahoo.com,,Mondays - Sundays  8am - 4pm  
22,ECAFA INVESTMENT COMPANY,"32 Office Line , Ikom Main Market, Ikom",07033871040 08062858865,London Bridals & Boutique,,,"Wedding Gowns, Accessories, Shoes, Cakes & Decoration",,,Mondays - Saturdays  8am - 6pm  
23,EKKY CAKES,"16 Inyang Edem Street off Mount Zion Road, Calabar",07031907495 08084971666,Baking,,,"Cakes, Buns, Fish Pie, Meat Pie",ekom-usen@yahoo.com,,Mondays - Saturdays  8am - 9pm  
24,EMMALEX SOUNDS,"63 Ekpo Abasi Street, Calabar","08030958683, 08172581025",Entertainment,,,Dj Services in Weddings & Birthdays,,,Mondays - Saturdays  8am - 9pm  
25,ENERGETIC RENTALS,36 Ekpo Abasi Street Calabar,"08055669819, 07071044330",Rentals Services,,,"Mat Chairs, Table, Canopies",,,Mondays - Sundays  8am - 7pm  
26,ETE-TEX RENTALS,"17 Jebs Street, Calabar",08137091111,Rental Services,,,"Canopies, Chairs, Tables, Tents, Event Mgt",,,Mondays - Sundays  24hrs
27,ETTE'S FINGER LIKIN',"4 Old Marian, Calabar",08034010351 08053060344,Catering Services,,,"Small Chops, BBQ, Cocktails",,www.ettebbq.com,Available on Call
28,FASHION & DESIGNS CENTRE (INT'L),"22 Border Road, Ikom",08078233596 07063679550,"Wedding Gowns, Suit",,,"Wedding Gowns, Suit, Cake Designs",,,Mondays - Saturdays  24Hrs
29,GLAMOURFIELD ENTERTAINMENT,"103 Ndidem Usang Iso Road, Calabar.",08038452912,"Music, Videos & Games",,,"DVD, CD, 3D, BLUERAY, Games",,,Mondays - Saturdays 8am - 10pm
