FASHION SERVICES,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
S/N,Company Name,Physical Adress,Hotline,Specialization,RC No/ Date,Branch Offices,Product/Services,Email,Website,Business Days/ Hours
1,ABLE STEPS,"19 IBB Way, Calabar",08033157760,Adult & Kiddies Clothing,,,"Clothes, Shoes, Accessories",,,Mondays - Saturdays  9am - 6pm  
2,ABOVE ALL CLOTHIER,"44 Calabar Road, Mile 2 Junction, Ikom",08028831470 08063433514,Unisex Clothing & Accessories,,,"Blouses, Shirts, Trouser, Bags, Belt, Suits, Shoes",dameecelebrity@yahoo.com,,Mondays - Saturdays  8am - 6pm  
3,ABRAHAM- IYOLIS COLLECTION,2 Orok-orok Street calabar,07039094388,Clothing,,,Unisex cloths,,,Mondays - Saturdays  8am -9pm  
4,ACQUILLA SOLUTION LIMITED,"6 Marian  Road, Calabar",08038554517 08175357987,All Types of Shoes,,"34 Freedom Road, Lekki Lagos","Dressing Shoes, Safety shoes & Sneakers ",,,Mondays - Saturdays  8am - 6pm  
5,AFRO-WEST-SIDE,"55 IBB Way, Calabar",08057571389 08037015376,African Products,,,"African Wears, Beads, Bags, Shoes",affiahnnely@yahoo.com,,Mondays - Saturdays  8am - 6.30pm  
6,AJEBOH CLOTHINGS,133 Ndidem Usang Iso Road Calabar,08069493588,Wears,,,Corprate Branding of Clothes,ajebohclothing_wyte@yahoo.com,,Mondays - Saturdays  8am - 8pm  
7,AKUHEMS STYLE,94 Ndidem Usang Iso Road Calabar,08030996032,Female Wears & Accessories,,,"Female Wears, Shoes & Accessories",,,Mondays - Saturdays  8am - 6.30pm  
8,ALEE COUTURE & LAUNDRY,"149 Goldie, Calabar",08033897438,Sewing & Laundry,,,Sewing of Traditonal & coporate outfit,,,Mondays - Saturdays  8am -6pm  
9,ALL TRENDY VOGUE,"98 IBB Way, Calabar",08034491025,Female Wears & Accessories,,,"Gowns, Tops, Jeans, Shoes & Accessories",,,Mondays - Saturdays  8am - 7pm  
10,AMERICAN PRIDE,111 Ndidem Usang Iso Road Calabar,08023573371 07037694930,Unisex Wears,,,"Unisex Wears, Computer & Stationeries",,,Mondays - Saturdays  8am - 6pm  
11,APPLES OF GOLD,102 Ndidem Usang Iso Road Calabar,07037636969,Female Clothings & Accessories,,,"Wears, Bags, Luggages, Hats & Cosmetics",myapplesofgold@gmail.com,,Mondays - Saturdays  8am - 6pm  
12,AROSE,"50 Bedwell Street, Calabar.","08054672244, 08036200511,",Authentic Wear,,,Men's wear,,,Mondays - Saturdays  8am -6pm  
13,ARTHEX BOUTIQUE,44 Bedwell Street Calabar,08082374318 08052374318,Boutique,,,"Shirts, Jean, Trousers, Belt, Shoe",,,Mondays - Saturdays  8am - 6.30pm  
14,ATTRACTIVE COLOURS LIMITED,"Tinapa Resort, Calabar",08063988834,Clothing and Handbags,,,Clothing and Handbags,,,Mondays - Saturdays  9.30am  
15,AVILLA BOUTIQUE,"22 Ndidem Usang Iso Road, Calabar",08055228471,"Clothing, Shoes & Designer's Perfume",,,"Female Clothes, Shoes, Perfumes, Accessories",,,Mondays - Saturdays  8am - 6pm  
16,AWESOMEBLESS JEWELLERY VILLA,22 Mount Zion Calabar,08055865262,Jewellery,,,Jewellery,,,Mondays - Saturdays  8am - 6.30pm  
17,AWUKLIN'S FASHION,"141 Ndidem Usang Iso Road, Calabar",07038617546,Kids & Adult Ankara Outfit,,,"Ankara Dresses, Casual Outfit, Senators Wear",dperfect22@yahoo.com,,Mondays - Saturdays   
18,BALUET EXCLSIVE WEARS & SUNDRIES,"1 Mary Selessor Avenue, opp DE-Choice fast food","08033483030, 08069400964",Boutique,,,"Babaies,chidren wears,Toys, Unisex Suits",,,Mondays - Saturdays  8am - 6.30pm  
