HEALTH SERVICES,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
S/N,Company Name,Physical Adress,Hotline,Specialization,RC No/ Date,Branch Offices,Product/ Services,Email,Website,Business Days/ Hours
1,ADI SPECIALIST CLINIC,8a Otop Abasi Street calabar,08037221973,Medical Health,,,Medical Services,,,Mondays - Sundays  8am -6pm  
2,AGB MEDICAL LABORATORY AND CONSULTANCY,152 Goldie Street calabar,"08108100940, 08068866555",Medical Services,,,Laboratory Test,,,Mondays - Saturdays  8am -8pm  
3,ALIEMMA CHEMIST,"182 Odukpani Road, Calabar",08037332663,"Treatment of S.T.V, Surturing",,,,,,Mondays - Saturdays 7am - 10pm.     Sundays 4pm - 9pm  
4,AMANDA JARVIS CLINIC,"A 10/1B 3rd Avenue State Housing, Calabar",08033416843,Medical Health,,,Medical services,,,Mondays - Sundays  8am -6pm  
5,AMAZING GRACE SPECIALIST HOSPITAL,"45 Ikot Uduak Street off MCC Road, Calabar",08033172687,Medical Health,,,Medical Services,,,Mondays - Sundays  8am -7pm  
6,ANIJAH PHARMACY,"23A Ettagbor Street, Calabar",08058500868,"Wholesale, Retail & Despensing Pharmacist",,,"Wholesale, Retail & Despensing Pharmacist",,,Mondays - Saturdays  8am - 8pm  
7,ANTIC'S MEDICINE SHOP,"183 Odukpani Road, Calabar",08184905879,Patent Medicine Business,,,,,,Mondays - Saturdays  8am - 9pm  
8,ASI UKPO DIAGNOSTICS & MEDICAL CENTRE,"Mary Slessor Avenue opp. School of Health Tech, Calabar",08099661670 08099961671 ,Diagnostics & Medical Centre,,"Plot 94 Rivoc Rd, Trans-amadi Ind. Layout, Portharcourt ",info@asidmc.com,,,
9,ASSURANCE MEDICAL DIAGNOSTIC CENTRE,"104 Goldie Street, Calabar","08088934548,  08035454697",Medical Services,,,Scaning & Medical Test,,,Mondays - Saturdays  8am - 6.30pm  
10,BASSEY ENUN SPECIALIST CLINIC,"11b Yellow Duke Street, Calabar",08038249371,Surgery,,,,,,Mondays - Sundays  24 hrs
11,BEZ PHARMACY & STORES,"28B Etta Agbor Road, Calabar",08033380548,Pharmacy,,,,,,
12,BRENDAN PAT-MEDICINE STORE,"7 Border Road, Ikom",07030735200,"Lab Reagent, Hospital Equipment",,,"Lab Reagent, Hospital Equipment",,,Mondays - Saturdays  8am - 7pm  
13,BUTEX PHARMACY,"40 Spring Road, Calabar",08037245638,Drugs & Counselling,,,"Drugs,Free B.P Check & Counselling",abafrank151@yahoo.com,,Mondays - Saturdays  8am - 9pm  
14,CANAAN LIFE PHARMACY,"95 Atekong Drive, Calabar",08095137809 08068520990,Drugs & Counselling,,"44 MCC Road, Calabar.",All Kinds of Drugs,,,Mondays - Saturdays  8am - 8pm  
15,CANNAN OPTICALS EYE CARE SERVICE,6 New Airport Road Calabar,08064499582,Eye Care Services,,,Eye Care Services,,,Mondays - Saturdays  8am - 6.30pm  
16,CHYDEZ VENTURE LTD,"18 Etta Agbor Road, Calabar",08033631041 08156194620,Hospital Equipment,,,"Hospital Equipment, Lab Equipment, Reagent, Surgical & X-ray Materials ",,,Mondays - Saturdays  8am -7pm  
17,COVENANT MEDICAL CENTRE,2 Akpanim street calabar off Goldie by mount Zion,"08022159583, 07032836911",Patient medications,,,All Types of Drugs,,,Mondays - Saturdays  8am -7pm  
18,DIAMOND GARDEN CONCEPT,"Federal Secretariat by M/M Highway, Calabar",07036277766,Nutritional Awareness Agency,,,GNLD Products,,,Mondays - Sundays  8.30am - 9pm  
19,DUROSE PHARMACY LIMITED,"4 Ekorinim, Phase 2 Shopping Complex, Calabar",08033314270 08067441928,Counselling & Dispensing of Drugs,,,"Drug/Lab. Information, Mini Mart, Home/Office Delivery",,,
20,E/A PHARMACEUTICAL SHOP,"44 Mbukpa Road, Calabar",08097656147 08023815029,"Essential Drugs, Proprietory Medicine",,,"Essential Drugs, Proprietory Medicine",,,Mondays - Sundays  8am - 9pm  
21,EDDY MEDICAL SHOP,1 New Airport Road Calabar,07067860845,Medical Services,,,Phamarceutical products,,,Mondays - Saturdays  8am - 6.30pm  
22,EDOH PHARMACY & SUPERMARKET LTD,"2 Mission Road, Igoli-Ogoja",08037361408,Pharmacy & Supermarket,,,Pharmacy & Supermarket,,,Mondays - Saturdays  8am - 5pm  
23,EFFICIENT REMEDIES,"5 Laugard street, calabar","08027600005, 08134185236",Patient Medications,,,Panadol,,,Mondays - Saturdays  8am - 11.30pm  
24,ELEOTIN CENTRE                   (Reverse Diabetes),"93 Ndidem Usang Iso Road, Calabar.",07038847485,Diabetes Solutions,,,Diabetes & Hypertension Supplement,health@eleotin.us,,Mondays - Saturdays  8am - 6pm  
