HOME & OFFICES,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
S/N,Company Name,Physical Adress,Hotline,Specialization,RC No/ Date,Branch Offices,Product/Services,Email,Website,Business Days/ Hours
1,A-3 CONCEPT LAUNDRY SERVICE,"34 Ekpo Abasi Street, Calabar",08102935355,Laundry Services,,,washing & Ironing,,,Mondays - Saturdays  8am - 6pm  
2,ADICA'S PROFESSIONAL LAUNDRY,"234 Old Odukpani Road, Calabar",07034263042,Laundry & Dry Cleaning Services,,,,,,Mondays - Saturdays  8am - 8.30pm  
3,ADROSE GAS NIGERIA LTD,"KM 8 Murtala Mohammed Highway, Northern Industrial Layout Ikot Ansa, Calabar",08020760070,Cooking Gas Refilling Station,,,Cooking Gas Refilling Station,,,Mondays - Saturdays  8am - 5pm  
4,AKARUS CARPETS & RUGS,48 Bedwell Street Calabar,08037108972,Carpets,,,Noble Carpets & Rugs,,,Mondays - Saturdays  8am - 6pm  
5,AMATECH PROJECT CO. LIMITED,"23 Ndidem Usang Iso Road, Calabar",08037766611 08177766611,Alluminium Partition Systems,,"14 Waddell Street, Calabar","Opening Systems, Partition Systems, Ceiling Systems",,,
6,AMAZING GRACE ALLUMINIUM,"54 Edgerly Road, Calabar",07068928269,"Aluminuim Doors, Windows, Ceiling",,,"Doors, Windows, Ceiling, Home Partitioning",,,Mondays - Saturdays  8am - 6pm  
7,ANARISCO LAUNDRY/DRY CLEANING SERVICES,"Shop 6 Ikot Ishie Shopping Plaza, Calabar",07031691855,Laundry & Dry Cleaning Services,,,,anari@yahoo.com,,
8,ANIE-BEST ALUMINIUM COMPANY,"17 Frazer Street, Calabar",07038842240,Aluminuim Fittings,,,"Doors, Windows, Showcases",,,Mondays - Saturdays  8am - 6pm  
9,BASSON INVESTMENT,"68 Marina Road by Akim Timber, Calabar",08152596483 08032707888,Household & Gift Items,,,"Pots, Plates, Iron, Blenders, Cooking Spoon, Coolers",basseydorathy28@yahoo.com,,Mondays - Saturdays  8am - 7pm  
10,BEST KLIN LAUNDRY & DRY CLEANING SERVICES,"13 Ikot Eyo Street, Calabar",08052160779,Laundry & Dry Cleaning Services,,,,,,Mondays - Saturdays  8am - 7pm  
