HOTELS,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
S/N,Company Name,Physical Adress,Hotline,Specialization,RC No/ Date,Branch Offices,Product/ Services,Email,Website,Business Days/  Hours
1,520 HOTEL,"4 Thomas John Close, Calabar",08034748511,,,,,info@520hotels.com,,
2,9 THE SPECIAL PLACE,"47 Ekpo Abasi Street, Calabar",08061663570,,,"10 Okon Akang Street, Cal. 9 Mayne Avenue Extension, Calabar.",,,,
3,AABEE HOTEL & SUITES,"Plot 8, Block 5 Onoyom Avenue,F.H.E, Calabar ",08033553626,Hotel,,,,aabeehotels@yahoo.com,,
4,ACHEIVES HOTEL,"3, Clifford Lane, Calabar",080556120742,,,,,achieves_hotel@nokiamail.com,,
5,ACHUFA SUITES AND BAR,"13 Agric Road, Four Corners, Ikom",08035875580,Accomodation & Bar,,"Accomodation, Restaurant & Bar",,,,Mondays - Saturdays   24 Hrs
6,AD SUITE,"1 Adsuit Hotel Crescent, Ikot Efa Street Off Parliamentary Road, Calabar",08065962793,Hotel,,,,info@adsuitehotel.com adsuithotel@yahoo.com,,
7,ADRAINS PLACE,"39 MCC Rd, Calabar",08036003000,Hotel,,"171 Asari Eso Layout, Calabar",,Adrainsplace@gmail.com ,enquiries@adriansapartments.com,
8,AFRIKANA SUITES,"57 Asari Eso Street, Calabar",08039190023,Hotel,,,,info@afrikanasuites.com,,
9,AFRO GUEST HOUSE,"Plot 3 Jehovah Witness Street, MCC Road, Calabar",08065544407 07064939787,Hotel,,,,afrogcross@yahoo.com,,
10,AKAI GUEST HOUSE,"29 Ekpo Archibong Street, off Parliamentary, Calabar",08030947576,Guest House,,,,gh.akai@yahoo.com ,,
11,AMEX HOTEL,"45 Ikot Effa Street, Off Parliamentary, Calabar",07030524948,Hotel,,,,,,
12,AMOUREX PLACE,"22 Ekpo Archibong Street, Calabar",08034053171,Hotel,,,,amourexplace@yahoo.com ,,
13,AB. ARMANY HOTELS,"96 Mekenge Layout off Ndidem Usang Iso Road, Calabar",09090692605,Hotel,,,,Arnnyhotel@yahoo.comma,,
14,ASFORDPHINE HOTEL,"8 Ita Odionka Street off Afokang, Calabar",08056409861,Hotel,,,,benzado@yahoo.com,,
15,ASHLEY RESIDENCE,"161 Ikot Effa, Off Parliamentary Road, Calabar",07031847635 08149490082,Hotel,,,,ashleyresidence@yahoo.com ,,
16,AUSMA SUITES,"92 Calabar Road, Ikom",,"Restaurant, Bar, Laundry & Outdoor Services",,,,,,
17,AWAI HOTEL,"53, Ekorinim Layout, Ekorinim 2, Calabar",08034359336,Hotel,,,, awaihotel@rocketmail.com,,
18,AXARI HOTELS/SUITES,"Murtala Mohammed Highway behind Zone 6, Calabar",07061080192,Hotel,,,,axarisuites@ymail.com,www.awaihotel.com,Mondays - Sundays   24 Hrs
19,B + B LODGES,"453 Murtala Mohammed Highway, Calabar",08036714327,Lodge,,,, bb.lodges@yahoo.com,,
20,BASIN GUEST HOUSE,"CRS Basin Authority Ikot Enebong, Calabar",,Guest House,,,, basinguesthouse@rocketmail.com,,
21,BAY CAFÉ & SNACK BAR,"232 Murtala Mohammed Highway, Calabar",,Hotel,,,,archibongeyo@yahoo.com,,
22,BEEBOBSCO ANNEX,"Ishie Str,By Mbukpa, Calabar",08068346255,Hotel,,,,,,
23,BEEBOBSCO HOTEL,"185 Old Odukpani Rd/Abasi Obori, Calabar",08052545474,Hotel,,,, b.hotels@ymail.com,,
24,BENON SUITE,"Polt 5, Block 13, Old Odukpani Road, Calabar",07030792910,Hotel,,,,benonsuite@ymail.com benonsuite@yahoo.com,,
25,BETTEH ROYAL PALACE HOTEL,"4 Covenant School Road, Ikom",,Lodging & Accomodation,,,"Lodging, Restaurant, Bar, Multipurpose Hall",,,
26,BEVERLY HEELS ,"56 Ndidem Usang Iso Road, Calabar",08094851305 08069197374 08069100507,"Hospitality, Restaurant, Club",,,,infor@beverlyheels.com.ng,,
27,BLISS MANSION HOTEL,"6 Uwanse Close, Calabar",08037306649,Hotel,,,,,,Mondays - Sundays   24 Hrs
28,BLUE SEA HOTEL,"29 Musaha Street, Calabar",08068287252,Hotel,,,,lphlem@yahoo.com,,
29,BOSTON HOTEL,"8 Nsemo Street off MCC Road, Calabar",08064438729,Hotel,,"98 Old Odukpani Road, Calabar",,hotelboston337@yahoo.com,,
30,BOWMAN HOTELS,"20 Archibong Eso, Calabar",07039468952,Hotel,,,,bowmanhotel@yahoo.com,,
31,BROWLAND HOTEL,"24 Asikpo Street, Calabar",08057760514,Hotel,,,,browland@yahoo.com,,
32,CALABAR GRAND HOTEL,"2 Ekong Bassey Lane Off Atimbo Road, Calabar",08033476106 08135422110,Hotel,,,,calabargrandhotel@yahoo.com,,
33,CANNAN HOTEL,"366a Murtala Mohammed Highway, Calabar",08064657944,Hotel,,,, gcanaan@rocketmail.com,calabar.grandhotel@ymail.com,
34,CANVILI GUEST HOUSE,"54 Odukpani Road, Diamond Hill, Calabar",08037067297 08034096058,Guest House,,,,canvili@yahoo.com ,,
35,CARDINAL SUITES/RESORT,"Plot 153 Asari Eso Layout, Calabar",08059949561,Suites,,,,cardinal.suites@ymail.com,canviliguesthouse@ymail.com,
36,CEEBAT GUEST HOUSE,"13 Andem Street, Ikot Omin, Calabar",08035535371,Guest House,,,,ceebatguesthouse@ymail.com,,
37,CHALSM HOTEL,"7 Otop Abasi, Calabar",08024920876,Hotel,,,,,,
38,CHANNEL VIEW,"27 Mcc Road, Calabar",08039742031,Hotel,,,,info@channelviewhotel.com.ng ,,
39,CITY LOUNGE HOTELS,"House 15, Phase 1 State Housing, Ikom",09092660609,Accomodation,,,"Accomodation, Bar & Restaurant",,info@channelviewhotelng.com,
40,COPPER KETTLE HOTEL,"139 Ibb Way, Calabar",08129424874,Hotel,,,,,,
41,COUNTRY HOME RESORT,"Plot 3, South Industrial Layout, Ekorinim, Calabar",08033908666,Hotel,,,,chr.calabar@yahoo.com,,
42,CROSS BEE GUEST HOUSE,"9 Effa Str, Essien Town, Calabar",07068534661,GH,,,,crossbee@rocketmail.com,c.homeresort@yahoo.com,
43,CYTARO HOTEL,"20 Bishop Moynagh Avenue, Calabar",08037213847,Hotel,,,,cytaro33@yahoo.com,,
44,DANNIC HOTELS,"Ekorinim Industrial Estate, Off Murtala Mohammed Highway, Calabar",,Hotel,,,,calabar@dannichotel.com,,
45,DAVVY HOTELS/APARTMENTS,"116 Asari Eso Layout, Calabar",08038023268 08103245843,Hotel,,,,davvyhotels@yahoo.com ,,
46,DECENCY GUEST HOUSE,"105 Essien Town, Beside Brotherhood, Calabar",08030535428,Guest House,,,,decencyhotel@yahoo.com,,
47,DE CRADLE LODGES,"90 Essien Town, Calabar",08037337269,Lodge,,,,decradle@rocketmail.com,,
48,DEKKA HOTEL,"10/12, Valley Resort Estate, Off 150 MCC Road, Calabar",08138809685,Hotel,,,,dekkahotel@nokiamail.com,,
49,DE-LIMIT GUEST HOUSE,"117 Mayne Avenue, Calabar",08064355821,,,,,de.limit@nokiamail.com,,
50,DE PITCHERS BAR,"15 Yellow Duke Street, Calabar",08184909614, Bar & Hospitality,,,,,,
51,DE PRINCE GUEST HOUSE,"5 Adak Uko Street, Calabar",08033055220,Guest House,,,,,,Mondays - Sundays   24 Hrs
52,DORIS O HOTEL,"1 Easten High Way by CUDA Office Atimbo, Calabar",08026077521,Hotel,,,,ojongokongoreno@yahoo.com,,
53,EJA'S GOLDEN HOTEL,"2 Eja Close off Mile II Road, Ikom",08165410009,"Lodging Accomodation, Bar & Restaurant",,,"Lodging Accomodation, Bar & Restaurant",,effi.hotel@nokiamail.com,
54,EKUNIKPA HOTEL,"55 Mayne Avenue, Calabar",07033633439,Hotel,,,,,,Mondays - Sundays   24 Hrs
55,EMMY TRAVELLERS HOME,"30 Winners Lane by Nkonib Layout, Calabar",08101346947 07057026997,Luxury Accomodation,,,,Emmy.travelers@nokiamail.com,,
56,ENGELS LODGES,"3 Effio Akabom , Off Nsemo Street along MCC Rd, Calabar",08068269418,Lodge,,,,chrisitaessien@yahoo.co.uk,,
57,ESRE BLUES,"58 Atimbo Road, Calabar",08062155772,Guest House,,,,yomyomhomes@yahoo.com,,
58,ESSI J,"6 Jameskon Street, Palace Road Anantigha, Calabar",08102321607,Hotel,,,,,,
59,ETAVAL HOTEL,"Plot 163 Ibom layout, Calabar",08089507920 08036464527,Hotel,,,,nyaasuquo750@yahoo.com,,
60,FED. HOUSING GUEST HOUSE,"Road 6, Plot 4, Federal Housing Estate, Calabar",08039538094,Guest House,,,,,,
61,"FIVE TWO ZERO HOTELS, AKUMA LODGE","6 Brig. Gen. Ukpo Drive GRA, Ogoja",08075784123,Lodging & Accomodation,,,Accomodation & Bar,,,
62,FOREST HOTEL,"Mcc Road By Timber Market, Calabar",08057295507,Hotel,,,, Forest.hotel@nokiamail.com,,
63,FORMULA EXECUTIVE SUITE,"90 Atekong Street, State Housing, Calabar",08034158852 08079149241 08105778387,Hotel &Suites,,"3 Adiabo Close, Calabar. 11 Efanga Mkpa, Ebri Drive, Calabar",,formula@yahoo.com,,Mondays - Sundays   24 Hrs
64,FREEMANS HOTEL,"128 Ndidem Usang Iso Road, beside First Bank, Calabar",08033060820,Hotel,,,,basseyagbor@yahoo.com,,
65,GALAXY LODGE,"7 Mayne Avenue Extension, Calabar",08033921042,Hotel,,,,,ima1969ng@yahoo.com,
66,GEORGIAN SUITES,EKORINIM1 (Highway by Calabar Sport Club),0816298662908168116566,Suites,,,, georgian.suites@nokiamail.com,,
67,GIO & GEE HOTEL,"8 Miles Junction Behind NNPC, Calabar",08036887357,Hotel,,,,,,
68,GLOBAL DREAMS HOTEL,"Plot 5 Old Odukpani Road FHE, Calabar",07039331152,Hotel,,,, Global.dreams@nokiamail.com,,
69,GOMARA HOTEL & SUITES,"Plot 10 Abakpa Road, Ndok Junction, Ogoja",08028958996 08032610606,Lodging & Accomodation,,,"Accomodation, Bar & Restaurant",gomarahotel@yahoo.com,info@globaldreamshotels.com,
