INSURANCE,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
S/N,Company Name,Physical Adress,Hotline,Specialization,RC No/ Date,Branch Offices,Product/ Services,Email,Website,Business Days/ Hours
1,AIICO INSURANCE PLC,"Henss Building, 24/26 Murtala Mohammed Highway, Calabar",08032194197 08150820250,Insurance,,,,,www.aiicoplc.com,
2,ANCHOR INSURANCE,"Shalom Plaza, 26 Murtala Mohammed Highway by Wapi Junction, Calabar",07062750721,Insurance,RC 132269,,,,www.ancohorinsuranceng.com,
3,CORNERSTONE INSURANCE PLC,"110/64b Murtala Mohammed Highway, Calabar",08038902783 08064798461,Insurance,,"21 Water Corporation Road, V.I. Lagos",Insurance,,www.cornerstone.com.ng,Mondays - Saturdays  8am - 5pm  
4,INTERNATIONAL ENERGY,"Plot 38 MCC Road, Calabar",08065587161,Insurance,,,,,,
5,LASACO ASSURANCE PLC ,101 Ndidem Usang Iso Road Calabar,08093581471 08029420494,Insurance,,"Plot 16 Acme Road, Ogbal-Ikeja, Lagos",,,,
6,LAW UNION & ROCK INSURANCE PLC,"41 Murtala Mohammed Highway, Skye Bank Building, Calabar",08033453438,Insurance,,,,,,
7,LEADWAY ASSURANCE COMPANY LTD,141 Ndidem Usang Iso Road Calabar,08129997098 08052295330,Insurance,RC 7588,"121/123 Funso Williams Avenue, Iponri, Marina, Lagos",,,,
8,LINKAGE ASSURANCE ,"70 IBB Way, Calabar",08055299945,Insurance,,,,,,
9,NIGER INSURANCE,35 Ndidem Usang Iso Road Calabar,08025416150,Insurance,,,,,,
10,ROYAL EXCHANGE,"Marian Road Opposite Pepperoni, Calabar",08037248052,Insurance,,,,,,
