LOGISTICS,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
S/N,Company Name,Physical Adress,Hotline,Specialization,RC No/ Date,Branch Offices,Product/ Services,Email,Website,Business Days/Hours
1,525 COMPUTERS,"39 Palm Street, Calabar",08033376554 070520699054,Computer Services,,,"Computer Services, Typesetting",,,Mondays - Saturdays  8am - 7pm  
2,ABRAHAM MOORE  ,"35 Itam Street Off Mbukpa  Road, Calabar  ",08036683951,Computer School /Café,,,,,,
3,ACUSOM BUSINESS COMPLEX,"6 Ekondo Street, Calabar",08056164998,Photostat & Computer Services,,,Photostat & Computer Services,,,Mondays - Saturdays 8am - 4pm
4,AFRIHUB  ,"Unical, Calabar  ",08035412972       08025318149  ,Computer Training/Cafe   ,,,,,,
5,AHAMZ COMPUTERS & STATIONARY,"29 Mount Zion Street, Calabar","08036378943, 08054525538",Computer Services,,,Computer service & bookshop,,,Mondays - Saturdays  8am - 6.30pm  
6,ALEOROKOM  ,"Bassey Duke Street, Calabar     ",08051237298,Cafe ,,,,,,
7,ALFA COMPUTER COMMUNICATION,"5 Atimbo Road, Calabar",08066760145,Computer Services,,,"Computer service, Spiral Binding, Training",,,Mondays - Saturdays  8am - 5pm  
8,APTECH   ,"200 M/M Highway, Calabar  ",08191303067  07031622983   ,Computer School/Cafe  ,,,,,,
9,ASSOCIATED DATA SERVICES LIMITED,"46 Mayne Avenue, Calabar  ",08037258415,Computer Training Center  ,,,,,,
10,AUDACITY ICT SOLUTIONS LTD,"72 Ekpo Abasi Street, Calabar",07037770033,Computer Services,RC 1143816,,"Web Design, Cyber Café, Car Tracking, Software Development",info@audacityict.com,www.audacity.com.ng,Mondays - Saturdays  8am - 6.30pm  
11,BLAMELESS SIGHTS SOLUTIONS LIMITED,"4 Ibako Street, State Housing, Calabar",08032626555 08033599393,Business & Corporation Training,,,"Business Consulting, Corporate & Management Detoxification Training",,www.blamelesssight.com,Mondays - Fridays  8am - 4pm  
12,BMJ   ,"20 Eta-Agbor Road, Calabar  Cafe  ",08033183236       08057248777   ,Café,,,,,,
13,BRANDSYNERGY,"Women Development Centre, Calabar    ",080137267665 ,,,,,,,
14,BRIDGETER COMPUTERS,"61/72 Ekpo Abasi Street, Calabar","07087705978, 08030983059",Computer Services,,,Computer Services,,,Mondays - Saturdays  8am - 6.30pm  
15,CHANNEL OF BLESSING  ,"147 Goldie Road, Calabar  ",08032596642,Computer Institute/Cafe ,,,,,,
16,CITY LIGHTING,111 Ndidem Usang Iso Road Calabar,08023815001,Logistics,,,,,,
17,CLIMAX NETWORKS,"24 Edim Otop Street, Calabar ",07063678095 09091963914,Online / Computer Services,,,"Photocopy, Printing, Spiral Binding",,,Mondays - Saturdays 8am - 7pm
18,COMPUTER SERVICES,"79 Egerton Street, Calabar",07038422947,Computer Services,,,,,,
19,CUSO INTERNATIONAL,"Anyarmurna Estate, Atimbo Road, Calabar",08189370001,Business Support Services,,,Outsourcing /Partnership with Govt & Other parastatals,,www.cusointernational,
20,CYBER METEOR,"12 Chamley Street, Calabar",07065646012,Computer Services & Cyber Café,,,,,,Mondays - Saturdays 8am - 5pm
21,CYBERXPRESS   ,,08037239017   ,Café,,,,,,
22,DE PERFECT SOLUTION TECHNOLOGIES,"122 Old Odukpani Road, Calabar",,Computer Services,,,"Photocopy, Lamination, Typesetting, Spiral Binding",deperfectsolution@gmail.com,,Mondays - Saturdays 8am - 7pm
23,DGR COMPUTER & IT SERVICES,"71 Ekpoabasi Street, Calabar",08032576402 08052710594,Computer Services,,,"Computer Training, Browsing",,,Mondays - Saturdays  8am - 8pm  
24,DISTINCT COMPT INST/MGT STUDIES  ,"Edibe Edibe, Calabar  ",,Computer School  ,,,,,,
25,DORIS CAFÉ,"45 Etta Agbor Road, Calabar",07068549433,Online Registrations of all Kinds,,,"Unical Database, Post UTME Diploma, CES, JAMB Admission Letters & Result Slip",,,Mondays - Saturdays  8am - 6pm  
26,DUBASS COMPUTERS  ,"41 Mcc Road, Calabar      ",07032246334,Computer Centre/Cafe,,,,,,
