MANUFACTURERS & WHOLESALERS,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
S/N,Company Name,Physical Adress,Hotline,Specialization,RC No/ Date,Branch Offices,Product/ Services,Email,Website,Business Days/ Hours
1,B4 WINNERS ALUMINIUM VENTURES,"234 Old Odukpani Road, Calabar",07030421338,"Aluminium Windows, Doors & Showcase",,,,,,Mondays - Saturdays 8am - 6pm
2,BENZINI EXOTIC BUILDING MATERIAL,"8 Ekong Etta Street, Calabar",08037042015 07031526171,Building Materials,,,Building Materials,,,Mondays - Saturdays 7am - 6pm
3,BRICKS & BLOCKS CONCRETE INDUSTRIES,"32/44 Ediba Road, Calabar",08063535664,Bricks & Blocks Industry,,,"Blocks of all Kinds,Concrete Ring, Concrete Poll Building Contractor",brick_blocks@yahoo.com,,Mondays - Saturdays 8am - 6pm
4,CEMENT FACTORY,25 Mayne Avenue Street Calabar,"08101589563, 07066593096",Assemblers,,,Cement,,,Mondays - Saturdays 8am - 6pm
5,CEMENT BEST COMPANY,21 Mount Zion Road Calabar,"08032802729, 08174052075",Assemblers,,,Cement,,,Mondays - Saturdays 8am - 6pm
6,DE REAL ALUMINUIM PRODUCTS,"65 Ndidem Usang Iso Road, Calabar",08037244190 08025237123,Aluminium Fabrication & Accessories,,,"Windows , Doors , Roofing & Fabrications",,,Mondays - Saturdays 8am - 6pm
7,DE SOUL INVESTMENT (NIG),"10 Nelson Mandella Street, Calabar",08056003901 07069396179,Electrical/ Electronic Appliances,,,,,,Mondays - Saturdays 8am - 5pm
8,ELECTRICAL COMPANY LTD,"76 Calabar Road, Calabar",08036746970,Suppliers of Electrical Materials,,,Contractor/Importers of Electrical Materials,,,Mondays - Saturdays 8am - 5pm
9,EL-JOE KAPTECH ALLUMININIUM,"18 Old Etomi Road, Ikom",07062790676,Glass Fabrication & Training,,,Glass Fabrication & Training,,,Mondays - Saturdays  8am - 5pm  
10,EZIMOHA GLOBAL SERVICES,"52 Ndidem Usang Iso Road, Calabar",08064025500 08073790740,Roofing Sheets,,"20 Bassey Duke Street, Calabar",Roofs @ Wholesale Prices,,,Mondays - Saturdays 8am - 6pm
11,HAIER THERMOCOOL SHOWROOM,"52 IBB Way, Calabar",08173531994,Electronics,,,"Fridge, Freezer, A.C, Gas Cooker",julurv.urch56@yahoo.com,,Mondays - Saturdays 8am - 6pm
12,IZU BEST ELECTRICAL COMPANY,"143 Old Odukpani Road, Calabar",08063534273,Electrical Materials & Ladder,,,,,,Mondays - Saturdays 8am - 6pm
13,JEG,159 Goldie Street Calabar,,Drinks & Eva water,,,Drinks & Eva water,,,Mondays - Saturdays 8am - 6pm
14,JOHN HOLTENGINEERING,"5 Marina Road, Calabar",07061034852,Distributors of Perkins & Yamaha Generators,,,,,,
15,JOMAP ENTERPRISES (NIG),71 Ibb Way Calabar,08163147454,Drinks,,,Wholesale Drinks,,,Mondays - Saturdays 8am - 5pm
16,KRISMAC POPCORN,"TIC Complex, Harbour Road, Calabar",08051854849 08096880672,Popcorn Manufacturing,,,,,,
17,MALDINI MARBLES LTD,"25 Mary Slessor Ave. opp. E.OKON/NNPC Filling Station, Calabar",08037031714 08033008998,Granite & Marble Company,,"41a Western Avenue, (Near Nat. Stadium)  Alaska B/stop, Surulere, Lagos","Kitchen Work-Tops, Floor & Wall Tiles",info@maldinimarbles.com,www.maldinimarbles.com,
18,MAMA JOY STORES,4 Akim Road Calabar,08172733071,Wholesale Drinks,,,Wholesale Drinks ( all kinds of drinks),,,Mondays - Saturdays 8am- 6pm
19,MEECO INTERNATIONAL INVESTMENT LTD,"4 Nelson Mandella Street, Calabar",08037031714, Electronics & Electrical,,,,,,Mondays - Saturdays 8am - 7pm
20,PONSAC ELECTRO-LINKS (NIG.) COMPANY,"76 Calabar Road, Calabar",08037031714,Dealers on Electrical/ Electronic Materials,,,,,,Mondays - Saturdays 8am - 6pm
21,SAM-MORSCO (NIG.) ENTERPRISES,"82 Egerton Street, Calabar",08037031714,General Goods Suppliers,,,Dealers on Household Materials,,,Mondays - Saturdays 8am - 6pm
22,SAMMYTEX ALUMINIUM PRODUCTS,"153 Old Odukpani Road, Calabar",08037031714,"Aluminium Windows, Sliding Doors, Office Partition & PVC",,,,,,
23,SCOA FOODS,97 Goldie Street Calabar,07031233535,Fruit Juice,RC 655053,,Fruit Juice,info@scoafoods.com,www.scoafoods.com,Mondays - Saturdays 8am - 5pm
24,ST CLETUS ELECTRO-TECHNICAL COMPANY,"35 Bedwell Street, Calabar",08037031714,Cutix,,,,,,Mondays - Saturdays  8am -6pm  
25,VINCENTRADE ELECTRICAL/ ELECTRONIC COMPONENT,"4 Nelson Mandella Street, Calabar",,Electrical/ Electronic Component Parts,,,Electrical/ Electronic Component Parts,,,Mondays - Saturdays 8am - 6pm
26,VITA FOAM COMPANY,"7 Nelson Mandela Road, Calabar",08160881146 08063146511,Mattress,,,,,,Mondays - Saturdays  8am -6pm  
27,WILDFORTE GLOBAL LTD,"25 IBB Way, Calabar",08037709797 08037134743,Roofing (Stone Coated),,,Stone Coated Roof & Accessories Sales,ebri.obono@yahoo.com,www.fortiza.com,Mondays - Saturdays  8am - 6pm  
28,ZUBEC ELECTRICAL ,"82 Calabar Road, Calabar",08033735473,Dealers on Electrical/ Electronic Materials,,,Electrical/ Electronic Materials,,,Mondays - Saturdays 8am - 7pm
