RELIGION,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
S/N,Company Name,Physical Adress,Hotline,Specialization,RC No/ Date,Branch Offices,Product/ Services,Email,Website,Business Days/ Hours
1, ASSEMBLIES OF GOD,6 Akiba StreetIkot Ansa Calabar,,,,,,,,Sunday: 8am (Sundday School) 9am (Worship)
2,AFRICAN APOSTOLIC MISSION CHUCRCH ,70 Atimbo Road Calabar,,,,,,,,Tuesday: 6pm     Wednessday: 7 - 12pm       Thursday: 5 - 6:30pm    Friday: 7 - 9pm              Sunday: 9am
3,AFRICAN APOSTOLIC MISSION CHUCRCH OF NIGERIA,70 Atimbo Road Calabar,,,,,,,,Tuesday: 6pm            Wednessday: 7 - 12pm           Thursday: 5 - 6:330pm           Friday:  7 - 9pm           Sunday: 9am
4,AFRICAN METHODIST EPISCOPAL ZION CHURCH,12 Diamond Hill Calabar,,,,,,,,Tuesday: 6pm              Wednessday: 6pm          Sunday: 9am
5,ALL CHRISTIAN CENTRE,27 Yellow Duke street calabar,"07031530202, 07030860421",Church Service,,,,,,Sunday 9am             Wenesday 5pm
6,ALL MAN ASSEMBLY FOR CHRIST MINISTRY,30 Eyo Ita Street Calabar,08024681099   09091921702,,,,,,,Monday: 6 - 8pm       Wednesdday: 6 - 8pm                     Friday: 6 - 8pm  Sunday: 9 - 12pm 
7,ALL SAINTS (PROT) CHURCH,Navy Barracks IBB Way Calabar,,,,,,,,Tuesday: 6pm            Thursday: 6pm              Sunday: 10am
8,AMBASSADOR OF FAITH MINISTRY ,5 Edibe Edibe Road Calabar,08067082511  08052111391,,,,,,,Tuesday: 6pm              Wednessday: 10 - 4pm          Friday: 6pm        Sunday: 8am
9,ANGLICAN CHURCH IN THE RESORT,151 MCC Road Calabar,,,,,,,,Wednessday: 5pm Sunday: 7:30am (1st Service) 9am (2nd Service)
10,APOSTOLIC ANOINTING MINISTRY,9 Okoho Ephraim Street Calabar,,,,,,,,Monday: 6 - 8pm       Wednesdday: 6 - 12pm (Fasting)                     Sunday: 10 - 12pm 
11,ASEMBLIES OF GOD NIGERIA,4miles Ikot Ansa Sectional Headquaters Calabar ,,,,,,,,Sunday: 8am (Sunday School)    9am (Worship)
12,ASSEMBLIES OF GOD,31 Ediba Road Calabar,,,,,,,,Tuesday: 5pm           Friday: 5pm  Sunday: 8am 
13,ASSEMBLIES OF GOD,16 Balantyne Street Calabar,,,,,,,,Tuesday: 6pm             Thursday: 7pm            Sunday: 10am
14,ASSEMBLIES OF GOD,60 Atimbo Street Calabar,,,,,,,,Tuesday: 6pm                Sunday: 9am
15,ASSEMBLIES OF GOD,17 Oyo Ita Street Calabar,,,,,,,,Tuesday: 5pm              Friday: 5pm                   Sunday: 8am
16,ASSEMBLIES OF GOD,22 Ekorinim (1) Calabar,,,,,,,,Tuesday: 6pm             Sunday: 10am
17,ASSEMBLIES OF GOD,137 MCC Road Calabar,,,,,,,,Tuesday: 6pm    Wednessday: 6pm          Sunday: 8am
18,ASSEMBLIES OF GOD,2/16 Odukpani Road Diamond Hill Calabar,,,,,,,,Monday: 5pm             Tuesday: 5pm                  Wednessday: 5pm       Sunday: 10am
19,ASSEMBLIES OF GOD,7 Edem Akimbri Avenue Calabar,,,,,,,,Tuesday: 6pm                Friday: 6pm                       Sunday: 8am
20,ASSEMBLIES OF GOD,7 Edem Avenue Calabar,,,,,,,,Tuesday: 6pm            Thursday: 6pm     Sunday: 8am
21,ASSEMBLIES OF GOD,67 Atimbo Road Calabar,,,,,,,,Tuesday: 6pm           Wednessday: 6pm      Sunday: 8am
22,ASSEMBLIES OF GOD,31 Ndidem Usang Iso Road Calabar ,,,,,,,,Monday: 5pm             Tuesday: 5pm            Wednessday: 5pm   Sunday: 10 - 12pm
23,ASSEMBLIES OF GOD,3 Okoho Ephraim Street Calabar,,,,,,,,Tuesday: 6pm               Sunday: 9am
24,ASSEMBLIES OF GOD,91 Nelson Manadela Road Calabar,,,,,,,,Tuesday: 6pm           Sunday: 9 -12pm
25,ASSEMBLIES OF GOD,9 Edibe Edibe Street Calabar,,,,,,,,Tuesday: 6 - 7pm        Friday: 6 - 7pm                Sunday: 9 - 12pm
26,ASSEMBLIES OF GOD,98 Old Ikang Road Calabar,,,,,,,,Tuesday: 6pm              Thursday: 6pm              Sunday: 8am
27,ASSEMBLIES OF GOD CHURCH,87 Uwanse Street Calabar,,,,,,,,Tuesday: 6pm         Thursday: 6pm           Sunday: 8am
28,ASSEMBLIES OF GOD CHURCH,33 Musaha Street Calabar,,,,,,,,Tuesday: 5:30pm          Thursday: 8am          Sunday: 8am
29,ASSEMBLIES OF GOD CHURCH,12 Bassey Oqua Street Calabar ,,,,,,,,Monday: 5pm             Tuesday: 5pm          Sunday: 10 - 12pm
30,ASSEMBLIES OF GOD CHURCH,67 EdimOtop Street Calabar,,,,,,,,Tuesday: 6pm             Wednessday: 6pm      Sunday: 8am
31,ASSEMBLIES OF GOD CHURCH,9 Ewa Henshaw Street Calabar,,,,,,,,Tuesday: 5:30pm Friday: 6pm                     Sunday: 7:30 - 11am                     
32,ASSEMBLIES OF GOD CHURCH,16 Balantyne Street Calabr,,,,,,,,Tuesday: 6pm               Sunday: 9am
33,ASSEMBLIES OF GOD CHURCH,16 Diamond Hill Calabar,,,,,,,,Tuesday: 5pm             Friday: 5pm                Sunday: 8am 
34,ASSEMBLIES OF GOD CHURCH ,244 M/M Highway Calabar,,,,,,,,Sunday: 8am
35,ASSEMBLIES OF GOD CHURCH ,Technical Round about Ikot Effanga Calabar,,,,,,,,Sunday: 8:30am 
36,ASSEMBLIES OF GOD CHURCH (CENTRE OF LOVE),7 Ikot Abasi Obori Street Calabar,,,,,,,,Sunday 8am
37,ASSEMBLIES OF GOD CHURCH NIGERIA,24 Efut Street Calabar,,,,,,,,Thursday: 5-6pm (Bible Study)                    Friday: 4pm        Sunday: 8am 
38,ASSEMBLIES OF GOD CHURCH NIGERIA,14 Target Road Calabar,,,,,,,,Sunday: 9-12pm
39,ASSEMBLIES OF GOD CHURCH OF NIGERIA,12 Bassey Oqua Street Calabar,,,,,,,,Monday: 5pm        Tuesday: 5pm        Wednessday: 5pm     Sunday: 10 - 12pm
40,ASSEMBLIES OF GOD NIGERIA (CALABAR SOUTH DISTRICT),9 Maple Street Calabar,,,,,,,,Sunday: 8am 
41,"ASSEMBLIES OF GOD, AKIM",31 Ndidem Usang Iso Road Calabar ,,,,,,,,Sunday:  8am
42,BACK-TO-GOD CHRISTIAN CENTRE (PEACE LAND),12 Kilos Busttop 8miles Calabar,,,,,,,,Sunday: 8am
43,BANAH OF FAITH MINISTRIES INT'L (ZOE CITY),2 BeeBosco Off Ikot Effa Rounabout Calabar ,,,,,,,,Wednessday: 5pm (Revelation hour)    Sunday: 7am (1st Service) 9am (2nd Service)
44,BANNER OF GOD'S GRACE CHURCH,8 Abitu Avenue Calabar,,,,,,,,Tuesday: 6pm              Thursday: 6pm              Sunday: 8am
45,BANNER OF GOD'S GRACE CHURCH,3 Edim Utop Street Calabar,,,,,,,,Tuesday: 6pm      Friday: 6pm             Sunday: 8:30am
