RETAIL & REPAIRS,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
S/N,Company Name,Physical Adress,Hotline,Specialization,RC No/ Date,Branch Offices,Product/ Services,Email,Website,Business Days/Hours
1, MC VIK.COM,"17/26 Etta Agbor Street, Calabar",08063846339 08189955049,"Electronic, Computer & Communication",,,"Electronic, Computer & Communication",,,Mondays - Saturdays  8am - 7pm  
2,AB BEST INVESTMENT,28 Palm Street Calabar,08062555424,Generator Spare Parts,,,Generator Parts,,,Mondays - Saturdays 8am - 6pm
3,ABUA AND SONS (NIG.) LTD,"22 Border Road, Ikom",,"Produce Merchant, Marketing & Consultant",,,"Produce Merchant, Marketing & Consultant",,,Mondays - Saturdays 8am - 7pm
4,ADVANCED TECHNOLOGY ,"40 Ndidem Usang Iso Road, Calabar  ",08063813608,Computer Accessories  ,,,,,,
5,AGBOTEX COMMUNICATION,"10 Etta Agbor Road, Calabar",08038867702,Phones & Accessories,,,Phones & Accessories,,,Mondays - Saturdays 8am - 6pm
6,AIS TECHNOMART,"21 Ndidem Usang Iso Road, Calabar",08099911139 08099911138,ICT Sales & Services,,,"Laptop, Phones, Tablets, Speakers",info@aistechnomart.com,,Mondays - Fridays 7.45am - 6pm Saturdays  11am - 3pm
7,ALEX ELECTRO LINK,"53 IBB Way, Calabar",07067101045,Electrical Appliances & General Contractor,,,"Cable, Bulbs, Socket, Stabilizer, Fittings",,,Mondays - Saturdays  8am - 8pm  
8,ALICIA GOLDEN,"1b Mekenge Layout, Calabar",08034128207 08035546464,Health Care Products & Gift Items,,,"Skin Care, Cosmetics, Perfumes & Gift Item",aliciagolden4u@yahoo.com,,Mondays - Saturdays  8am -6pm  
9,ALPHOBIC BOOKS ,"4 Goldie street, Calabar",080315951056,Book Sales,,,Exercise & Textbooks,,,Mondays - Saturdays 8am - 6pm
10,AMBITION ASSIOCIATES SERVICES LIMITED,"Shop D4, Tinapa Business Resort & Free Trade Zone, Calabar",08117257483 08129841816,Imports & Export of Food & Drinks,,,"Rice, Wine, Car Battery",contact@laafrica.com,www.laafrica.com,Mondays - Saturdays 10am - 4pm
11,ANDY SYSTEMS  ,"18 Target Road, Calabar  ",08033380720 07038840446  ,Computer Accessories  ,,,,,,
12,ANI COMMUNICATION,"45/55 Mbukpa Road, Calabar",08030977384 08179231079,Phones & Accessories,,,"Phones, Memory Card, Recharge Cards, Accessories",,,Mondays - Saturdays  8am - 8pm  
13,ANIESCO VENTURE,"22b Ikot Eyo Street, Calabar",07037932667,Phones & Accessories,,,,,,Mondays - Saturdays  8am - 5pm  
14,AUSTINOTEX COMPUTERS,"80 Calabar Road, Calabar",08062903684 08185781520 08033897438,Computer & I.T Solutions,,,"Sales of Computer, Networking",,,Mondays - Saturdays 8am - 4pm
15,BANNY'S WINE BAR,84 Mcc Road Calabar,08037322974,Wine & Bar,,,"Wine, Drinks, Food, etc",,,Mondays - Saturdays 7am - 9pm
16,BB COMMUNICATION SYSTEM,74 White House Road Calabar,08133618356,Phone,,,"Phone, & Accessories",,,Mondays - Saturdays 8am - 6pm
17,BEST OF CHRIS,"102/106 Ndidem Usang Iso Road, Calabar",08035070793,"Mobile Phone Sales, Accessories & Repairs",,,"Phone, Laptops, Cameras & Accessories",,,Mondays - Fridays   8am - 8pm          Sundays  2pm - 8pm
18,BLESSED MAN AUTO MECHANIC,"383 Murtala Mohammed Highway, Calabar",08166710357 07017101455,"Repairer of Ford, Chevrolet, Jeep",,,,,,Mondays - Saturdays  8am - 5pm  
19,BLITZ KRIEF EXOTIC WINE SHOP,"50 Atimbo Street, Calabar",08062628226,Wine Shop,,,"Spirit, Juice, Red Wine",,,Mondays - Saturdays  8am - 8pm  
20,BLUE GATE DEPOT,"10 Bassey Street, Calabar","08066730570, 08081319833",Electronics,,,"Sales of Inverters, Stabilizer, Fans ",,,Mondays - Saturdays 8am - 6pm
21,BRIGHT ELECTRONICS NIG,"12 Nelson Mandela Road, Calabar","08063604194, 0818115280",Electronics,,,Car Radio & Computer,,,Mondays - Saturdays 8am - 6pm
22,BRIGHT PHONE & REPAIRS,"19 Edim Otop Street by Culvert, Calabar",08106567321 07011054493,Phone Repairs,,,"Memory  Cards, Unlocking, Flashing, Downloading",,,Mondays - Saturdays 8am - 7pm
23,BRIGHT STAR TECHNOLOGY,"80 IBB Way, Calabar",08069199274 080184720820,"Phone Maintenance &   Repairs , Accessories",,,"Phone Accessories, Repair & Wholesale",,,Mondays - Sundays  8am - 9pm  
24,CAMPOS PLACE,"106 M/M Highway, Calabar",07033130123,Provision Store,,,Provision Store,,,Mondays - Saturdays 7am - 7pm
25,CANDY SYSTEM COMMUNICATION,Etim Edem Part Upstairs,08069115527,Phone Repairs,,,Sales of Phone& Repairs,,,Mondays - Saturdays 8am - 6pm
26,CHARLESON STORES,40 Mcc Road Calabar,08174976838,Provision Store,,,Provision & Drinks,,,Mondays - Saturdays 7am - 6pm
27,CHERRY SPOT,"146 NAOWA Shopping Plaza by Army Junction, Calabar",08029100014,Wine,,,,,,Mondays - Saturdays  8am - 9pm  
28,CHIDO CEMENT ENTERPRISES,"117 MCC Road Shopping Complex, Calabar",08063708557 08087411448,Cement: Wholesale & Retail,,,"Building Materials, Cements",,,Mondays - Saturdays  8am -5pm  
29,CHIKE PHONES SOLUTION,"Etta Agbor Layout by Etta Agbor Street, Calabar",07038318100,Phones,,,"Sales & Repairs of Phones, Flashing, Pimping",,,Mondays - Saturdays  8am -7pm  
30,CHUKS MORGAN ELECTROMART,52 Bedwell Street Calabar,08064230101,Electronics,,,"Fans, Tv, DVD",,,Mondays - Saturdays 8am - 6pm
31,CIONEE SMART PHONE SHOP,34 Calabar Road Calabar,0809991686 ,Phone,,,"Techno Phones, Nokia Phones & Ear Piece",,,Mondays - Saturdays 8am - 6pm
32,COMMUNICATION INTEGRATED SERVICES LTD,"Plot 10 Marijohn Plaza, opp. School of Nursing, General Hospital Road, Ogoja",08036758313,"Recharge Cards, Phones ",,,"Recharge Cards, Phones, Laptop",,,Mondays - Saturdays 8am - 5pm
33,COMPUTER PEOPLE,"10 Etta Agbor Road, Calabar",08033475838,Computer Accessories & Office Machines,,,"Computer Accessories, Photocopier, Office Machines",,,Mondays - Saturdays 8am - 5pm
34,COMPUTER WORLD,"77 Calabar Road, Calabar",08039123561 08094589087,Computers,,,"Repair, Sales, Configure",,,Mondays - Saturdays 8am - 6pm
